인물,대사
센터요원," 준, 열 제어판 손상은 어느 정도인가?"
준, 조사중이다.
센터요원, 육안으로 보이는 외상이 있는가?
준, 없다. 그런데 아까 우리와 부딪친 게 뭐였나?
센터요원, 인공위성 일부분. 2006년에 한국에서 쏜 아리랑위성 잔해로 파악됐다.
준, 2006년? 골동품이네.  2006년이면 내가 태어난 핸데.
센터요원, 그래?  이상.
준,Roger.  2006년? 하... 
준, 지금으로부터 28년전인 2006년...내가 태어난 해다...대한민국..
준," 대한민국의 2006년은 노무현대통령 5년임기의 후반무렵으로 격동의 한해였다. 줄기세포조작 사건이 일어났고,"
준, 그 격동과 좌절의 2006년 늦여름.. 나는 서울 흑석동에서 태어났다.
문희, 으이구 그래~~ 이 놈이 지 백일인 걸 아나보다 기분이 좋아 죽네~
해미, 안녕~
준하, 어 자식 큰 아빠 해봐~ 큰아빠~
신지, 얘 아주버님 알아요. 보세요 웃잖아요.
준하,나 아냐? 응?
민용, 이 자식 맨날 침을 이렇게 흘려.. 
순재, 일루줘봐.  아이구 이 놈 고추 한번 크다~
사진사, 자 찍겠습니다. 다들 이쪽으로 오세요.
순재,으~~~~ 
순재,그 자식 사정없이 오줌을 갈기네.
문희,옷은 안 젖어서 다행이우.
순재, 이눔 자식이 어?  자 찍자. 다 어디 갔어? 얘 엄마아빠는?
준하,둘이 잠깐 나가는 거 같던데...
순재,빨리 오라 그래.
해미,제가 불러올께요. 
순재,이거..  당신은 뒤로가.
문희,왜요? 나도 여기 앉아서 찍어야지.
순재,여기 좁아서 넷이 앉으면 이러고 이상하다고. 뒤로가.
문희,사진사 양반이 이렇게 앉으라 그랬어요.
준하,그래요. 엄마만 뒤로 가면 이상하죠.
순재,아 내가 시키는대로 해 뒤로가.
사진사, 엄마 아빠가 가운데 앉고 할아버님 할머님이 양쪽 옆에..
순재, 에에 됐소.  뒤로 가 빨리.
민용, 너 왜 그래 도대체? 인생이 장난이냐?
신지,나 장난 아니거든? 진지하거든?
민용,너 정말..  그래 해! 해! 아 드러워 죽겠네 해! 
신지,아! 왜 때려! 씨! 
민용,아! 왜 이래? 
해미,지금 찍는대. 얼른 들어가.  이민호 이윤호 어딨어!
순재,아 민호 윤호 이놈들은 뭘 하고 있어?
준하, 야 이민호 이윤호 빨리 안와?
문희, 너 앞머리를 왜 넘겼어? 내리는 게 난데..
준하,그래요? 
해미,내리지 마~ 내리면 이상해. 
준하,이상해?
문희, 뭐가 이상해 얘는 내려야 어려보이..
해미, 몇 년 어려보이려다 칠득이처럼 보여요 어머님.
준하,오우 칠득이 같으면 안돼지. 
순재, 뭐? 뭐 그렇게 궁시렁거려? 뭐야 말 해봐 뭐?
준하,아니예요.  이 임마 빨리 안 와?
사진사,자 찍습니다. 모두 웃으세요. 하나 둘 셋!
교감,자 오늘부터 함께 근무하게 될 오민정 선생님입니다.
민정, 잘 부탁드립니다.
교감,다들 잘 좀 도와주시구요...오민정 선생은 수학담당이시고 9반 담임 맡으실껍니다.
민정, 저 교감선생님..전 오민정이 아니라 서민정이구요.. 영어담당이구 4반 담임이라고 들었는데..
교감,"아 그런가? 잠깐, 4반에는 이주용 선생 아들들이 다니지 않나?"
민용," 교감 선생님 전 이민용이구요, 4반에는 조카들이 다니구 있구요, 제 아들은 돌도 안 지났습니다."
교감,아 그런가? 어쨌든 짝꿍자리니까 두 분 사이좋게 지내시고.. 자 다들 그럼 일 보세요. 
민정, 안녕하세요?
민용, 예 뭐...
민정,하 저는 이번에 처음 부임이라 무지무지 떨리는 거 있죠...
민용, 그러세요..
민정,원래 여중 발령날꺼였는데 제가 여기 지원했어요. 남고 담임 해 보는게 꿈이었거든요~
민용, 그러세요..
민정,근데 혹시 뭐 안 좋은 일 있으세요?
