,기업명,업력,기업형태,사원수,업종,사업내용,평균연봉,최저연봉,최고연봉,22년 대비 증감률,연봉신뢰도,매출액(2020),매출액(2021),매출액(2022),매출액(2023),영업이익(2020),영업이익(2021),영업이익(2022),영업이익(2023)
0,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
1,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
2,한스컨설팅,,,,,,,,,,,"2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
3,(주)데이타솔루션,,,,,,"5,248","3,056","6,927",-4.22,높음,,,,,,,,
4,(주)인이지,,,,,,"5,316","3,038","6,998",19.22,낮음,"2억 4,417만원","6억 3,762만원","8억 4,404만원","12억 5,016만원","8,728만원","1억 2,487만원","- 8억 6,752만원","- 21억 2,920만원"
5,(주)인이지,,,,,,"5,316","3,038","6,998",19.22,낮음,"2억 4,417만원","6억 3,762만원","8억 4,404만원","12억 5,016만원","8,728만원","1억 2,487만원","- 8억 6,752만원","- 21억 2,920만원"
6,에스씨301의원,,,,,,,,,,,"2억 4,417만원","6억 3,762만원","8억 4,404만원","12억 5,016만원","8,728만원","1억 2,487만원","- 8억 6,752만원","- 21억 2,920만원"
7,(주)스튜디오프리윌루전,,,,,,"3,990","2,605","5,562",-,"매우
낮음","8,643만원",,,,"- 1,761만원",,,
8,텔레픽스(주),,,,,,,,,,,"8,643만원",,,,"- 1,761만원",,,
9,(주)아이아이컴바인드,,,,,,,,,,,"8,643만원",,,,"- 1,761만원",,,
10,(주)숲,,,,,,"7,027","3,819","8,709",-2.36,높음,,,,,,,,
11,이지케어텍(주),,,,,,"6,057","3,248","7,746",6.39,"매우
높음",,,,,,,,
