,회사명,채용공고사항,링크,지역,경력,학력,월급
0,(주)업스테이지,[전문연구요원]AI엔지니어-DocumentAI,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49997679&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,경기전체,신입·경력,석사↑,정규직
1,(주)업스테이지,[전문연구요원]AI엔지니어-DocumentAI,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49997683&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,경기전체,신입·경력,석사↑,정규직
2,한스컨설팅,용산 위치 대기업 계열 SI회사 AI엔지니어 대리-과장급,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50012607&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 용산구,경력 2~10년,대졸↑,정규직
3,(주)데이타솔루션,[중견기업/IT계열] 데이타솔루션 AI엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49833772&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력무관,학력무관,정규직
4,(주)인이지,[INEEJI] 인이지 데이터분석가/AI엔지니어 전문연구요원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50020971&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,경기 성남시 분당구,신입·경력,석사↑,전문연구요원·병역특례
5,(주)인이지,[INEEJI] (주)인이지 AI연구소 데이터분석가/AI엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50020226&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 서초구,신입·경력,대졸↑,정규직·계약직
6,에스씨301의원,[SC301의원 삼섬동/코엑스]성형외과 AI엔지니어/개발자(경력자)를 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48685050&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력,고졸↑,정규직
7,(주)스튜디오프리윌루전,AI엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49973513&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 서초구,경력10년↓,학력무관,정규직
8,텔레픽스(주),[AI연구팀]NLP딥러닝 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49763144&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 영등포구,경력2년↑,학력무관,정규직
9,(주)아이아이컴바인드,[젠틀몬스터] AI 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49987770&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 마포구,경력3년↑,학력무관,정규직
10,(주)숲,[SOOP] AI 엔지니어 리더,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49964966&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,경기 성남시 분당구,경력6년↑,학력무관,정규직
11,이지케어텍(주),[의료IT 1위 이지케어텍] AI 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49943198&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 중구,경력,대졸↑,정규직
12,엔컴주식회사,[딥러닝] 인공지능 AI 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49974745&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,부산 사상구,경력3년↑,초대졸↑,정규직
