,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,(주)한국알파시스템,업력 25년차,중소기업,30명,유선 통신장비 제조업,"CCTV영상감시장치,카드라더류 제조/정보통신공사/컴퓨터,통신장비 도소매/부동산 임대/네트웍유지보수 관리","3,729","2,546","5,729",1.5,낮음,"66억 6,252만원",60억 807만원,"66억 1,072만원","56억 3,097만원","3억 8,132만원","1억 4,523만원","3억 8,737만원","4,675만원"
1,(주)컴퓨터메이트,업력 19년차,중소기업,80명,응용 소프트웨어 개발 및 공급업,"소프트웨어 개발,판매/부동산 임대/컴퓨터시설 관리","5,546","3,096","6,873",7.29,보통,"101억 8,582만원","91억 6,165만원","86억 2,001만원","98억 1,053만원","5억 1,024만원","4억 4,896만원","6억 6,721만원","11억 2,460만원"
2,(주)엠엔비젼,업력 14년차,중소기업,,산업처리공정 제어장비 제조업,"자동화기기,응용소프트웨어개발　및　공급업","4,562","2,836","6,140",1.27,낮음,"29억 1,775만원","22억 8,132만원","34억 6,922만원","34억 1,606만원","5억 5,197만원","3억 2,620만원",2억 218만원,"5,331만원"
3,(주)엠디에이,업력 5년차,중소기업,11명,자료 처리업,자료 처리업,"4,047","2,743","5,722",2.43,"매우
낮음","5,441만원","2억 1,664만원",1억 946만원,,"1,890만원","1,899만원","- 3억 6,967만원",
4,(주)신라시스템,업력 21년차,중소기업,49명,응용 소프트웨어 개발 및 공급업,"소프트웨어개발,응용로봇개발,웹디자인,정보통신기기　계측기개발,의료기기 제조 및 판매,태양력 발전업,통신공사,무역,전자상거래업,DB구축,GIS개발,공간정보DB","5,381","3,054","6,986",12.81,보통,"45억 1,050만원","50억 7,614만원","54억 5,726만원","56억 3,850만원","9,035만원","2억 4,832만원","1억 8,519만원","1억 8,070만원"
5,(주)더아이엠씨,업력 23년차,중소기업,54명,호스팅 및 관련 서비스업,,"4,014","2,596","6,059",6.87,보통,"23억 7,385만원","34억 4,523만원","43억 3,993만원","30억 3,002만원","1,982만원","4억 1,986만원","5억 1,310만원","- 9억 8,055만원"
6,(주)스피어에이엑스,업력 18년차,중소기업,143명,응용 소프트웨어 개발 및 공급업,"소프트웨어 개발,공급/방송장치,음향기기 제조/컴퓨터,주변기기,네트워크 도소매/전자상거래/부동산 임대","4,964","2,934","6,728",-6.45,낮음,"140억 6,030만원","193억 1,448만원","223억 2,909만원","250억 3,633만원","18억 5,947만원","5억 5,196만원","- 22억 8,601만원","- 60억 2,436만원"
7,(주)비즈데이터,업력 12년차,중소기업,85명,응용 소프트웨어 개발 및 공급업,"응용 소프트웨어 개발 및 공급업,전자 감지장치 제조업,학술연구용역,경영 컨설팅업,경영자문교육훈련","6,474","3,420","7,818",10.29,보통,,,,,,,,
8,(주)엠티데이타,업력 18년차,중소기업,237명,컴퓨터시스템 통합 자문 및 구축 서비스업,"시스템통합 구축,소프트웨어 자문,개발,공급,유지보수/정보통신공사/컴퓨터,주변기기 도소매","4,192","2,657","6,339",4.41,높음,"448억 9,831만원","407억 8,694만원","645억 5,724만원","932억 5,367만원","5억 5,609만원","17억 7,770만원","12억 1,830만원","28억 4,517만원"
9,(주)위니텍,업력 29년차,중소기업,229명,컴퓨터시스템 통합 자문 및 구축 서비스업,"재난관제시스템 구축,컨설팅,유비쿼터스소방방재기술 연구개발,통합재난관제시스템 유지보수","5,382","3,098","6,999",4.99,높음,"269억 4,993만원","276억 7,757만원","363억 1,809만원","429억 6,844만원","26억 5,409만원","29억 4,372만원","34억 2,109만원","71억 7,523만원"
