,회사명,채용공고사항,링크,지역,경력,학력,월급
0,(주)코리아디펜스인더스트리,"방산업체 연구개발,군수체계 연구개발,방산원가 인력 공개채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49956072&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,신입·경력,대졸↑,계약직
1,(주)넷커스터마이즈,방산관련 응용 소프트웨어 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50045616&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,신입·경력,학력무관,정규직
2,(주)오토콘테크,"방산.우주항공 하드웨어(회로설계, PA) 개발자 신입/경력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49847726&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경남 창원시,신입·경력,대졸↑,정규직
3,(주)심네트,(서울 송파) 방산분야 직원 선발(개발관리 신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49833103&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 송파구,경력무관,대졸↑,정규직·계약직
4,(주)넥스콤,[넥스콤] 기술연구소 전자설계(방산) 신입/경력사원 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50049300&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경남 창원시,경력무관,초대졸↑,정규직
5,주식회사 세레스테크놀로지,H.W 개발  (방산/민수 용 임베디드 시스템 설계 및 개발),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49809585&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력무관,학력무관,정규직
6,(주)옵트에이아이,(병역특례가능) 임베디드 비전 AI 개발자 (방산 분야),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49972342&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 강서구,경력무관,대졸↑,정규직·전문연구요원
7,(주)신보,"[명학]방산관련  H/W 신입,경력 연구원 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50066211&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 군포시,경력무관,초대졸↑,정규직
8,(주)신보,생산기술 (방산) 정규직 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50066127&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 안양시 만안구,경력,대졸↑,정규직
9,(주)한국에프에이산업,방산분야 해외 사업개발/관리 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49878728&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 부천시,경력5년↑,학력무관,정규직
10,커리어위즈,하드웨어 개발/열화상 기술 전문 방산기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50006726&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 금천구,경력 5~10년,초대졸↑,정규직
11,커리어위즈,펌웨어 개발/열화상 기술 전문 방산 기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50006707&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 금천구,경력 3~10년,초대졸↑,정규직
