기업명,업력,기업형태,사원수,업종,사업내용,평균연봉,최저연봉,최고연봉,22년 대비 증감률,연봉신뢰도,매출액(2020),매출액(2021),매출액(2022),매출액(2023),영업이익(2020),영업이익(2021),영업이익(2022),영업이익(2023)
(주)코리아디펜스인더스트리,업력 6년차,중소기업,344명,무기 및 총포탄 제조업,"천무,신관,금속가공제품 제조","8,242","4,265","9,537",-1.58,보통,,,,,,,,
(주)넷커스터마이즈,업력 26년차,중소기업,79명,응용 소프트웨어 개발 및 공급업,,"6,481","3,422","7,829",6.46,보통,"73억 9,189만원","54억 8,784만원","98억 2,752만원","132억 1,799만원","16억 2,398만원",8억 977만원,"23억 2,390만원","31억 3,651만원"
(주)오토콘테크,업력 6년차,중소기업,24명,디스플레이 제조용 기계 제조업,"평판디스플레이 기계 제조업,배전반 및 전기 자동제어반 제조업,방위산업 장비 제조업","4,975","2,974","6,515",7.52,낮음,"11억 5,688만원",15억 332만원,"24억 3,163만원","35억 1,287만원","- 1억 2,042만원","- 1,678만원","1억 4,317만원","1억 2,638만원"
(주)심네트,업력 27년차,중소기업,171명,응용 소프트웨어 개발 및 공급업,"소프트웨어 개발,공급,유지보수,자료처리/방송,유무선기기 제조/컴퓨터,패키지소프트웨어 도매,무역","5,224","3,012","6,735",1.34,높음,"383억 7,172만원","292억 8,441만원","424억 8,855만원","360억 6,266만원","21억 9,738만원","13억 9,930만원",23억 236만원,"30억 7,284만원"
(주)넥스콤,업력 5년차,중소기업,17명,기타 절연선 및 케이블 제조업,"전기장비(절연선 및 케이블),소프트웨어개발,로봇구동제어 연구개발","5,970","3,419","7,104",12.56,낮음,"3억 1,063만원","15억 5,619만원","30억 2,566만원",,736만원,"6,179만원","1억 3,801만원",
주식회사 세레스테크놀로지,,,,,,,,,,,,,,,,,,
(주)옵트에이아이,업력 5년차,중소기업,19명,응용 소프트웨어 개발 및 공급업,"소프트웨어 개발 및 공급업,지도 제작업","5,017","2,959","6,745",-3.67,"매우
낮음","4,851만원","3억 3,904만원",,,"- 1,162만원","- 1억 6,598만원","- 2억 5,857만원",
(주)신보,업력 34년차,스타트업,151명,유선 통신장비 제조업,"유,무선통신장치,자동화설비설계 제조/건물 매매(건설)/컴퓨터,주변기기 도소매/건물 임대/소프트웨어 개발용역","5,508","3,162","6,995",8.19,"매우
낮음","217억 2,700만원","256억 2,185만원","235억 7,288만원","316억 3,507만원","- 5억 8,702만원","4억 8,612만원","6억 6,375만원","14억 2,529만원"
(주)신보,업력 34년차,스타트업,151명,유선 통신장비 제조업,"유,무선통신장치,자동화설비설계 제조/건물 매매(건설)/컴퓨터,주변기기 도소매/건물 임대/소프트웨어 개발용역","5,508","3,162","6,995",8.19,"매우
낮음","217억 2,700만원","256억 2,185만원","235억 7,288만원","316억 3,507만원","- 5억 8,702만원","4억 8,612만원","6억 6,375만원","14억 2,529만원"
(주)한국에프에이산업,업력 18년차,중소기업,11명,배전반 및 전기 자동제어반 제조업,"전기제어장치.자동화부품,전기제어장치.자동화부품,계측기,전기제어장치,자동화부품,계측기,전기제어장치,자동화부품,계측기,소프트웨어　자문,개발,공급","5,507","3,344","6,264",2.09,낮음,"97억 3,804만원","70억 7,925만원","85억 2,312만원",67억 56만원,"29억 2,975만원","8억 2,314만원","15억 2,213만원","9억 2,878만원"
커리어위즈,,중소기업,,시설관리·경비·용역,"헤드헌팅, 경력직 인재 추천, 커리어컨설팅",,,,,,"97억 3,804만원","70억 7,925만원","85억 2,312만원",67억 56만원,"29억 2,975만원","8억 2,314만원","15억 2,213만원","9억 2,878만원"
