瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 泅瘤扁拘(hPa),乞闭 傈款樊(1/10)
143,措备,2000-01-01,4.7,.1,1.1,1018.5,8.8
143,措备,2000-01-02,6.5,,2.1,1009.5,6.4
143,措备,2000-01-03,2.9,,2.3,1013.6,1.3
143,措备,2000-01-04,2.3,,.7,1017.2,.5
143,措备,2000-01-05,4.9,4.7,1.3,1012.9,8.5
143,措备,2000-01-06,6,.2,2.1,1007.3,8.8
143,措备,2000-01-07,-1.7,0,3.4,1015.2,.9
143,措备,2000-01-08,-.5,,1,1016.3,.9
143,措备,2000-01-09,0,1.1,.8,1015.1,7.5
143,措备,2000-01-10,2.4,0,2,1016.7,1.6
143,措备,2000-01-11,2.4,0,1.2,1019.5,5.4
143,措备,2000-01-12,6.3,.3,2.3,1012,9.5
143,措备,2000-01-13,4.9,0,2.9,1007.4,7
143,措备,2000-01-14,1.6,,2.5,1014.4,3.9
143,措备,2000-01-15,1.1,,1.2,1017.5,4.1
143,措备,2000-01-16,3.7,,1.2,1013.8,6
143,措备,2000-01-17,2.4,,2,1012.2,7.1
143,措备,2000-01-18,3,,3.2,1012.3,2.6
143,措备,2000-01-19,-1.7,.3,3.3,1013,3.8
143,措备,2000-01-20,-4.6,,4.9,1023.3,.9
143,措备,2000-01-21,-3.6,,2.8,1030.1,.8
143,措备,2000-01-22,-1.6,.4,1.2,1024.5,9.1
143,措备,2000-01-23,2.7,2.1,1.6,1016.1,8.6
143,措备,2000-01-24,2.8,,3.2,1019.4,6.3
143,措备,2000-01-25,-1.5,,4.4,1020.8,2.5
143,措备,2000-01-26,-4.5,,4,1021.3,0
143,措备,2000-01-27,-2.7,,2.9,1023.3,0
143,措备,2000-01-28,-.7,,2,1025.1,0
143,措备,2000-01-29,-.1,,2,1024.4,2.9
143,措备,2000-01-30,-.4,,3.7,1024.3,2.9
143,措备,2000-01-31,-3.8,,3.5,1028,.1
143,措备,2000-02-01,-2.6,,3,1024,2.6
143,措备,2000-02-02,-.8,,3.1,1022.5,1.9
143,措备,2000-02-03,.5,,3.2,1019.8,2.6
143,措备,2000-02-04,1,,1.7,1022.3,.3
143,措备,2000-02-05,2.3,0,1.2,1017.8,6
143,措备,2000-02-06,3.6,0,3.6,1011.4,6.1
143,措备,2000-02-07,1.6,,2.2,1007.9,7.6
143,措备,2000-02-08,-3.4,0,5.6,1008.2,1.6
143,措备,2000-02-09,-1.8,,3.2,1014.3,0
143,措备,2000-02-10,1,,2.7,1012.9,1.4
143,措备,2000-02-11,3.5,,2.8,1012,1.3
143,措备,2000-02-12,4,,2.5,1011.8,.5
143,措备,2000-02-13,5,,1.2,1010.8,4.4
143,措备,2000-02-14,3.7,,3.7,1005.8,4.5
143,措备,2000-02-15,-2.2,,5.2,1009.9,.8
143,措备,2000-02-16,-1.8,,4.5,1013.2,1
143,措备,2000-02-17,-.8,,4.4,1017.1,.1
143,措备,2000-02-18,1.5,,2.6,1017.4,2.5
143,措备,2000-02-19,4.1,,1.4,1009,8.1
143,措备,2000-02-20,3.9,,3.7,1006.1,2.3
143,措备,2000-02-21,1,,3.9,1012.9,.6
143,措备,2000-02-22,1.5,,2.5,1015.7,4.8
143,措备,2000-02-23,3.7,,2.3,1014.8,4.6
143,措备,2000-02-24,.1,,4.1,1018.3,0
143,措备,2000-02-25,.2,,2.3,1016.5,5.1
143,措备,2000-02-26,2.7,,3.4,1010.7,4.4
143,措备,2000-02-27,4.1,,3.8,1014.7,1.1
143,措备,2000-02-28,1.8,,4,1018.2,.6
143,措备,2000-02-29,1.1,,3.1,1022,0
143,措备,2000-03-01,5,,2.7,1020.7,.8
143,措备,2000-03-02,8.1,,2.2,1019,.9
143,措备,2000-03-03,9.2,.5,1.7,1014.8,6.3
143,措备,2000-03-04,9.7,1.4,2.1,1008.2,6.8
143,措备,2000-03-05,8.2,,1.8,1008,2.5
143,措备,2000-03-06,7.5,,3.2,1007.3,.5
143,措备,2000-03-07,1.9,,5,1012.1,0
143,措备,2000-03-08,1.6,,4.2,1013.2,1.5
143,措备,2000-03-09,3.1,,4.2,1018.6,1.3
143,措备,2000-03-10,6,,1.9,1018.8,4.3
143,措备,2000-03-11,8.3,,2.2,1010,10
143,措备,2000-03-12,8.7,,2.6,1007.4,1.3
143,措备,2000-03-13,8.9,,3.5,1013.4,2.8
143,措备,2000-03-14,9,,2.7,1015.5,2.4
143,措备,2000-03-15,7.9,11,2,1008.8,5.6
143,措备,2000-03-16,5.9,7.7,3.4,1001.5,6.8
143,措备,2000-03-17,7.9,,1.7,1011.4,0
143,措备,2000-03-18,9.9,,2,1010.9,2.3
143,措备,2000-03-19,9.3,,2.7,1007.2,3.5
143,措备,2000-03-20,8.3,,2.1,1013.9,3.3
143,措备,2000-03-21,9.1,,1.9,1011.8,6.6
143,措备,2000-03-22,7.8,,3.9,1017.3,1.4
143,措备,2000-03-23,6.6,2.1,2.3,1007,9
143,措备,2000-03-24,6.5,,5.1,1007.3,0
143,措备,2000-03-25,7.6,,4.5,1011.3,.1
143,措备,2000-03-26,10.2,,2.6,1009.3,.8
143,措备,2000-03-27,12.8,,2.5,1005.3,4.1
143,措备,2000-03-28,10.6,4.7,3.1,995.7,9.3
143,措备,2000-03-29,8.3,,3.9,1003.1,4.9
143,措备,2000-03-30,10.8,,2.7,1005.7,0
143,措备,2000-03-31,11.7,,2.2,1003.3,2.6
143,措备,2000-04-01,12.4,,2.3,1012.3,3
143,措备,2000-04-02,11.9,,3.3,1014.1,6.5
143,措备,2000-04-03,12.6,,2.4,1012.6,2.4
143,措备,2000-04-04,12.2,,2,1009.4,7.8
143,措备,2000-04-05,11,,3.4,1005.1,3.4
143,措备,2000-04-06,10.2,,2.3,1011.7,0
143,措备,2000-04-07,11.8,,3.5,1010.2,.5
143,措备,2000-04-08,11.2,,2.4,1015.5,1
143,措备,2000-04-09,11.8,.2,2.2,1010,7.9
143,措备,2000-04-10,9.1,1.2,4.6,1003.4,4
143,措备,2000-04-11,10.6,,4.6,1005.2,.6
143,措备,2000-04-12,14.1,,2.6,1000.3,3.4
143,措备,2000-04-13,17.1,,2.5,1000.4,2
143,措备,2000-04-14,14.9,,3,1003.8,7.5
143,措备,2000-04-15,11.4,0,3.3,1002.9,9.3
143,措备,2000-04-16,12.5,.1,2.3,1005.6,2.9
143,措备,2000-04-17,15.3,,3,1007.5,1.1
143,措备,2000-04-18,15.7,,2,1009.3,6.1
143,措备,2000-04-19,12.2,23.9,2.2,1002.3,8.8
143,措备,2000-04-20,13.3,,3.2,1005.9,6.4
143,措备,2000-04-21,13.7,0,2.4,1000.5,6.6
143,措备,2000-04-22,14.3,,3.5,997.5,4
143,措备,2000-04-23,13.1,,4.7,999.3,1
143,措备,2000-04-24,14.6,,3.4,1003.7,3.4
143,措备,2000-04-25,15.5,0,2,1002.5,9.1
143,措备,2000-04-26,12.6,.6,2,994.6,7
143,措备,2000-04-27,11.3,.1,2.1,999.2,9
143,措备,2000-04-28,13.4,,2.5,1006.9,3
143,措备,2000-04-29,16.2,,1.8,1009.2,1.1
143,措备,2000-04-30,14.9,1.1,2,1003.9,5.1
143,措备,2000-05-01,17.2,,3.1,1000.3,.4
