瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 泅瘤扁拘(hPa),乞闭 傈款樊(1/10)
143,措备,2020-01-01,.2,,3,1024.4,2.6
143,措备,2020-01-02,3.4,,2.8,1021.9,4.1
143,措备,2020-01-03,3.6,,2.5,1019,1.3
143,措备,2020-01-04,2.7,,2.4,1018.4,1.8
143,措备,2020-01-05,2.2,,1,1023.6,2.6
143,措备,2020-01-06,1.4,12,.9,1020.6,9.8
143,措备,2020-01-07,7,27,1.1,1005.3,9.9
143,措备,2020-01-08,7.9,.3,4.4,1006.3,8.1
143,措备,2020-01-09,3.2,,3.5,1015.5,3
143,措备,2020-01-10,2.2,,1.3,1015.8,3.6
143,措备,2020-01-11,3.3,,2.4,1012.2,4
143,措备,2020-01-12,2.7,,3.3,1010.1,2.4
143,措备,2020-01-13,2.1,,3.4,1014.9,4
143,措备,2020-01-14,1.6,,2.9,1018,4.4
143,措备,2020-01-15,.9,,2.7,1020.5,.4
143,措备,2020-01-16,.3,,1.5,1018.9,6.1
143,措备,2020-01-17,1.4,,.9,1015,6
143,措备,2020-01-18,3.1,,1.6,1013.4,6
143,措备,2020-01-19,3.2,,2.2,1012.1,4.6
143,措备,2020-01-20,4.6,,3.3,1014.8,3
143,措备,2020-01-21,1.9,,1.7,1022.7,1.9
143,措备,2020-01-22,2.9,3.5,.8,1018.7,9.9
143,措备,2020-01-23,5,7.5,.8,1016.3,9.6
143,措备,2020-01-24,6.1,,1.9,1022.5,7
143,措备,2020-01-25,7.2,,1.9,1022.6,8.9
143,措备,2020-01-26,6.7,.1,2.3,1019.8,8.9
143,措备,2020-01-27,6.2,19.5,4.1,1011.2,10
143,措备,2020-01-28,7.4,0,1.3,1009.8,9
143,措备,2020-01-29,6.2,.5,1.3,1008.5,9
143,措备,2020-01-30,5.7,0,1.6,1007.7,7.5
143,措备,2020-01-31,4.4,0,1.1,1012.7,6.3
143,措备,2020-02-01,2.9,,2,1017.4,2.4
143,措备,2020-02-02,3.6,,1.2,1017.9,2.6
143,措备,2020-02-03,3.1,,2.9,1018.6,2
143,措备,2020-02-04,1.9,,1.8,1018.9,.8
143,措备,2020-02-05,-1.5,0,4.5,1021.7,1.1
143,措备,2020-02-06,-2.1,,1.8,1025.7,3
143,措备,2020-02-07,1.1,,2.2,1021.1,5.1
143,措备,2020-02-08,2.9,,3.7,1018.8,3.1
143,措备,2020-02-09,1.9,,2.2,1017.8,.4
143,措备,2020-02-10,5.5,,2.1,1016.9,2.4
143,措备,2020-02-11,6.1,,1.2,1021.4,4.8
143,措备,2020-02-12,8.1,6,1.7,1010.8,9.8
143,措备,2020-02-13,10.4,,1.8,1011.4,5.8
143,措备,2020-02-14,10.7,,1.4,1013.6,4.9
143,措备,2020-02-15,12,,2.6,1012.1,6.9
143,措备,2020-02-16,5,4,4.8,1004.3,8.6
143,措备,2020-02-17,-1.6,0,5.7,1009.4,5.4
143,措备,2020-02-18,-.2,,3.5,1019,.3
143,措备,2020-02-19,4.7,,2,1022.4,4.4
143,措备,2020-02-20,6.1,,1.1,1026.2,1.8
143,措备,2020-02-21,8.3,0,1.5,1023.6,6.6
143,措备,2020-02-22,8.2,0,4.7,1017,2.8
143,措备,2020-02-23,4.9,,2.8,1021.6,0
143,措备,2020-02-24,8.1,0,1.1,1017.6,4.8
143,措备,2020-02-25,7,29,2.8,1011,10
143,措备,2020-02-26,8.3,.2,1.9,1015.7,8.6
143,措备,2020-02-27,6.1,0,3.4,1021.8,8.4
143,措备,2020-02-28,4.5,1,1.4,1017.1,8.3
143,措备,2020-02-29,6.3,,1.1,1011.8,5.5
143,措备,2020-03-01,9.4,,1.5,1011.3,7.9
143,措备,2020-03-02,7.1,,3.8,1015.5,2.9
143,措备,2020-03-03,7.7,,2.8,1017.7,6.9
143,措备,2020-03-04,5.9,,4.6,1013.6,5
143,措备,2020-03-05,3.7,,3,1017.4,0
143,措备,2020-03-06,5.4,,1.1,1015.3,2
143,措备,2020-03-07,5.7,2,1.2,1011.9,9
143,措备,2020-03-08,8.3,,2,1012.4,2.5
143,措备,2020-03-09,9.1,3,1.5,1007.9,7.4
143,措备,2020-03-10,9,10,2.9,999.3,8.8
143,措备,2020-03-11,6.4,,4.5,1010.2,0
143,措备,2020-03-12,8.3,,1.7,1015.1,.8
143,措备,2020-03-13,9.4,,2.4,1013,8.3
143,措备,2020-03-14,6.5,,4.6,1008.3,2.3
143,措备,2020-03-15,6.2,,4,1004.3,2.8
143,措备,2020-03-16,6.4,,2.5,1014.2,.1
143,措备,2020-03-17,10.5,,2.6,1008.8,1.8
143,措备,2020-03-18,11.7,,1.4,1007.7,0
143,措备,2020-03-19,10.8,,4.4,1000.6,1.4
143,措备,2020-03-20,12,,3.5,1007,0
143,措备,2020-03-21,15,,1.5,1005.3,2.3
143,措备,2020-03-22,14.1,,2.8,1005.7,2
