연도,전세가율,아파트거래현황,아파트분양물량,아파트평균매매가격
2012.01,74.7,156,0,139487
2012.02,74.7,273,0,139487
2012.03,74.8,318,343,140023
2012.04,75.3,391,201,140308
2012.05,75.7,268,584,141308
2012.06,75.8,456,0,141385
2012.07,75.8,378,0,141564
2012.08,75.8,265,0,141506
2012.09,75.9,166,0,141869
2012.1,76.5,314,0,142294
2012.11,76.8,330,979,143173
2012.12,75.5,566,0,143622
2013.01,75.5,297,0,143788
2013.02,75.5,286,662,143892
2013.03,75.6,344,0,143946
2013.04,75.7,381,0,144092
2013.05,75.8,400,0,144519
2013.06,75.9,542,0,144673
2013.07,76,180,0,144609
2013.08,76.1,409,0,144558
2013.09,76.3,737,0,144558
2013.1,76.4,489,0,144622
2013.11,76.5,425,181,144865
2013.12,76.5,621,0,144865
2014.01,76.5,572,0,144840
2014.02,76.6,628,0,145006
2014.03,76.6,732,0,145506
2014.04,76.8,738,0,145686
2014.05,76.8,677,0,145814
2014.06,76.8,818,0,145968
2014.07,76.8,812,0,146263
2014.08,76.8,632,0,146340
2014.09,76.8,650,0,146519
2014.1,76.9,599,921,146891
2014.11,77,1316,528,147224
2014.12,77,636,0,147571
2015.01,77,1085,0,147904
2015.02,77.1,951,0,148596
2015.03,77.1,1060,0,150013
2015.04,77.3,915,0,151654
2015.05,77.4,454,70,152718
2015.06,77.4,542,0,154218
2015.07,80.5,481,0,183603
2015.08,80.5,385,0,184282
2015.09,80.6,616,0,184590
2015.1,80.6,457,0,185423
2015.11,80.5,400,0,186051
2015.12,80.5,548,0,186359
2016.01,80.4,392,301,186449
2016.02,80.4,495,0,186718
2016.03,80.5,401,0,186667
2016.04,80.6,405,0,187128
2016.05,80.7,297,0,187051
2016.06,80.7,332,0,187038
2016.07,80.6,376,0,187038
2016.08,80.6,545,1527,187038
2016.09,80.5,363,0,187128
2016.1,80.5,474,0,187308
2016.11,80.5,429,0,187462
2016.12,80.5,975,0,187474
2017.01,80.5,615,0,187612
2017.02,80.5,552,0,187714
2017.03,80.5,444,1164,187894
2017.04,80.5,320,0,187923
2017.05,80.5,1492,0,188342
2017.06,80.5,354,0,188750
2017.07,80.5,378,0,189195
2017.08,80.6,456,0,189336
2017.09,80.5,1218,0,189782
2017.1,80.4,741,0,190282
2017.11,80.3,532,426,190513
2017.12,78.2,836,0,238529
2018.01,78,547,0,239202
2018.02,77.9,518,0,239875
2018.03,77.8,552,0,240817
2018.04,77.8,559,0,241548
2018.05,77.6,640,0,242683
2018.06,77.5,671,38,244279
2018.07,77.4,558,544,246163
2018.08,77.3,540,0,248269
2018.09,76.6,688,0,253750
2018.1,76,1153,0,257510
2018.11,75.8,383,0,258490
2018.12,75.7,374,0,258712
2019.01,70.4,443,623,324575
2019.02,70.4,654,0,324202
2019.03,70.4,1254,0,324255
2019.04,70.4,433,0,324300
2019.05,70.4,339,90,324036
2019.06,70.4,409,39,322882
2019.07,70.5,442,0,322082
2019.08,70.4,364,0,320936
2019.09,70.4,440,0,320305
2019.1,70.5,1003,0,319741
2019.11,70.4,337,0,319723
2019.12,70.4,395,533,319277
2020.01,69.9,372,0,320864
2020.02,69.9,957,0,320891
2020.03,69.9,367,0,320909
2020.04,69.9,288,0,320704
2020.05,70,265,0,319835
2020.06,70.1,435,0,319246
2020.07,70.1,595,0,319022
2020.08,70.1,634,0,316960
2020.09,70.2,622,0,315638
2020.1,70.2,538,0,316478
2020.11,70.4,1017,0,319277
2020.12,70.4,967,0,328232
2021.01,70.3,323,0,332313
2021.02,70.3,285,0,334039
2021.03,70.3,559,70,335075
2021.04,70.1,376,0,337530
2021.05,69.9,485,0,339941
2021.06,69.8,363,0,343884
2021.07,71.2,336,0,344291
2021.08,70.7,403,0,348085
2021.09,70.3,430,0,350355
2021.1,70.1,426,165,354114
2021.11,69.8,372,0,356919
2021.12,69.7,427,82,359305
2022.01,69.7,194,510,360598
2022.02,69.6,361,0,361077
2022.03,69.6,734,0,361525
2022.04,69.5,462,0,362422
2022.05,69.5,430,0,362516
2022.06,69.6,249,0,362511
2022.07,69.6,216,0,361945
2022.08,69.6,710,161,360511
2022.09,69.4,184,0,357359
2022.1,69.3,196,0,354354
2022.11,69.1,696,0,347647
2022.12,69,264,0,340847
2023.01,68.8,85,0,334172
2023.02,68.7,494,0,328847
2023.03,68.5,145,176,325262
2023.04,68.6,255,0,322314
2023.05,68.6,661,0,320877
2023.06,68.6,214,64,320365
2023.07,68.7,395,0,320664
2023.08,68.6,280,0,320611
2023.09,68.5,177,0,321667
2023.1,68.4,155,0,323178
2023.11,68.4,254,0,324011
2023.12,68.5,163,0,324367
2024.01,68.2,146,0,327567
2024.02,68.2,159,1575,326689
2024.03,68.4,231,0,325910
2024.04,68.7,641,0,324686
2024.05,68.8,298,0,323923
2024.06,68.8,243,0,323688
2024.07,69,400,0,323168
2024.08,69,235,0,323336
2024.09,69.1,280,0,323471
2024.1,69.2,318,0,322900
2024.11,69.5,295,0,322724
2024.12,69.8,212,0,322271
