연도,전세가율,아파트거래현황,아파트분양물량,아파트평균매매가격
2012.01,75,523,0,170206
2012.02,74.6,1136,0,171051
2012.03,75.1,1285,0,172081
2012.04,75.1,1342,0,173765
2012.05,75.1,1118,0,174309
2012.06,75.1,963,0,174321
2012.07,75.3,1077,0,174600
2012.08,75.8,1048,0,175110
2012.09,75.8,1778,0,175346
2012.1,75.8,1785,0,175904
2012.11,76,1854,633,176301
2012.12,75,2429,0,177779
2013.01,75.1,917,0,178908
2013.02,75.3,1364,0,179408
2013.03,75.4,1495,0,179607
2013.04,75.5,1827,0,180412
2013.05,75.5,1915,0,182360
2013.06,75.4,2747,0,184651
2013.07,75.2,1311,0,188240
2013.08,75.3,669,0,189659
2013.09,75.4,765,2134,190335
2013.1,75.7,1266,0,192166
2013.11,75.7,1760,0,194490
2013.12,76.1,2418,0,197026
2014.01,76.2,1084,996,200696
2014.02,76.2,1489,0,202358
2014.03,76.1,1514,0,203888
2014.04,76,1515,0,205375
2014.05,76.1,1008,0,206691
2014.06,76.3,744,0,207346
2014.07,76.4,851,155,207890
2014.08,76.5,897,0,208316
2014.09,76.6,1068,0,209066
2014.1,76.6,1567,0,209588
2014.11,76.6,1523,0,210338
2014.12,76.7,1212,0,210787
2015.01,76.7,1056,0,211500
2015.02,76.7,1095,0,212000
2015.03,76.8,1254,0,212875
2015.04,77,1353,0,214699
2015.05,77,1288,0,216493
2015.06,77.1,1163,849,218441
2015.07,78.4,1564,0,243640
2015.08,78.1,1015,0,244993
2015.09,77.8,871,0,248419
2015.1,77.8,847,230,251544
2015.11,77.8,1000,0,253324
2015.12,77.8,780,0,253265
2016.01,77.9,358,0,252441
2016.02,78.1,320,0,251426
2016.03,78.1,449,982,250485
2016.04,78.1,493,0,249596
2016.05,78.1,478,0,249125
2016.06,77.9,721,0,248654
2016.07,77.8,887,0,248125
2016.08,77.7,1124,0,247162
2016.09,77.7,991,0,246404
2016.1,77.7,944,0,246037
2016.11,77.7,1056,0,245868
2016.12,77.7,922,0,245353
2017.01,77.6,468,0,245007
2017.02,77.7,567,0,244522
2017.03,77.7,657,0,244199
2017.04,77.7,799,0,243846
2017.05,77.8,734,148,243397
2017.06,77.8,1009,0,243257
2017.07,77.8,1959,0,243301
2017.08,77.7,1365,0,243706
2017.09,77.7,1246,0,244221
2017.1,77.6,968,148,244735
2017.11,77.6,987,0,245544
2017.12,76.3,1022,0,261429
2018.01,76.2,831,0,261976
2018.02,76.2,911,0,262441
2018.03,76.1,1140,0,262947
2018.04,76.1,1198,0,263629
2018.05,76,1164,378,263841
2018.06,76.1,1453,0,264200
2018.07,76,1414,0,264612
2018.08,75.8,950,64,265135
2018.09,75.6,1017,585,265453
2018.1,75.4,1398,1533,266200
2018.11,75.2,1659,0,267265
2018.12,75.2,970,0,268124
2019.01,74.9,2252,896,276785
2019.02,74.9,705,0,276837
2019.03,75.1,1064,222,276738
2019.04,75.3,1320,0,276145
2019.05,75.4,1255,391,275860
2019.06,75.6,999,790,275453
2019.07,75.8,1354,202,275073
2019.08,76,1082,200,274968
2019.09,76.1,1545,0,275061
2019.1,76.1,1486,144,275724
2019.11,76.1,1285,0,276683
2019.12,76,1519,938,277578
2020.01,75.8,1452,0,280770
2020.02,75.9,2128,0,282138
2020.03,75.9,984,316,282356
2020.04,76,831,555,282276
2020.05,76,1574,842,282316
2020.06,76,1737,0,282966
2020.07,75.8,2776,796,283948
2020.08,75.5,1886,0,285580
2020.09,75.1,1572,0,288454
2020.1,74.8,2017,0,291678
2020.11,74.4,2188,0,296822
2020.12,73.8,2061,393,307293
2021.01,73.4,481,0,312494
2021.02,73,925,0,317851
2021.03,72.7,447,917,322126
2021.04,72.5,519,0,324868
2021.05,72.2,1805,608,327339
2021.06,71.9,1708,0,330328
2021.07,75.5,508,0,391099
2021.08,75.5,762,526,391557
2021.09,75.5,508,0,391831
2021.1,75.5,530,0,391559
2021.11,75.6,875,0,390970
2021.12,75.6,377,1634,389937
2022.01,75.5,1045,0,387591
2022.02,75.4,292,993,384598
2022.03,75.2,371,0,379611
2022.04,75.1,470,0,375927
2022.05,74.7,357,0,371637
2022.06,74.1,266,0,367622
2022.07,73.9,358,272,364864
2022.08,73.9,625,0,360025
2022.09,73.8,298,0,355416
2022.1,73.5,321,48,349690
2022.11,72.4,267,105,341320
2022.12,70.5,355,0,330035
2023.01,69.6,266,0,318636
2023.02,68.9,551,0,308676
2023.03,68.1,582,0,303957
2023.04,68,553,0,300092
2023.05,67.8,591,0,298727
2023.06,67.7,673,0,298578
2023.07,67.7,664,0,297565
2023.08,67.7,639,0,298493
2023.09,67.8,701,0,299554
2023.1,67.9,677,0,300784
2023.11,67.9,583,0,301733
2023.12,68.2,483,0,301053
2024.01,68.2,561,0,307218
2024.02,68.4,561,0,305804
2024.03,68.5,711,0,304391
2024.04,68.4,727,0,304247
2024.05,68.5,573,0,303328
2024.06,68.6,608,0,301608
2024.07,68.6,672,0,299868
2024.08,68.5,654,0,298051
2024.09,68.4,588,0,297407
2024.1,68.5,668,0,296498
2024.11,68.7,516,0,295213
2024.12,68.9,1543,0,293606
