연도,전세가율,아파트거래현황,아파트분양물량,아파트평균매매가격
2012.01,70,287,0,248023
2012.02,70,293,0,248239
2012.03,70,272,0,248477
2012.04,70.2,311,514,248364
2012.05,70.2,388,0,248364
2012.06,70.2,405,0,247818
2012.07,70.2,236,0,247455
2012.08,70.2,183,4608,247250
2012.09,70.4,175,0,247159
2012.1,70.4,319,0,247080
2012.11,70.7,335,0,246295
2012.12,70,443,0,245227
2013.01,70.2,211,0,243568
2013.02,70.4,255,0,243125
2013.03,70.5,316,0,242648
2013.04,70.6,417,0,241955
2013.05,70.5,528,0,241386
2013.06,70.5,1606,0,240682
2013.07,70.6,1411,0,239114
2013.08,70.6,1051,0,239159
2013.09,70.9,641,0,238057
2013.1,71.1,604,0,238091
2013.11,71.1,646,0,238011
2013.12,71,623,0,238841
2014.01,71.1,351,0,238068
2014.02,71.1,463,0,238261
2014.03,71.4,413,1488,237659
2014.04,71.5,518,0,238682
2014.05,71.6,475,324,239136
2014.06,71.9,440,0,239875
2014.07,72,723,0,240841
2014.08,72.2,535,0,240750
2014.09,72,545,0,241557
2014.1,71.7,587,0,243227
2014.11,71.4,746,1866,244773
2014.12,71.3,1361,0,247341
2015.01,71.4,734,0,247886
2015.02,71.3,668,0,249352
2015.03,71.3,818,224,250432
2015.04,71.1,971,0,252364
2015.05,70.9,914,0,253352
2015.06,70.7,808,944,255830
2015.07,71.4,639,704,281020
2015.08,71.1,935,0,283280
2015.09,70.8,946,0,285780
2015.1,70.5,691,0,288640
2015.11,70.2,695,0,290410
2015.12,70.5,589,0,291170
2016.01,70.5,359,39,291260
2016.02,70.5,304,0,291900
2016.03,70.4,448,0,292260
2016.04,70.4,516,0,292750
2016.05,70.4,611,0,293230
2016.06,70.4,973,0,293680
2016.07,70.4,664,0,294350
2016.08,70.4,712,621,295500
2016.09,70.5,663,0,297100
2016.1,70.3,1282,0,299610
2016.11,70.3,896,0,303030
2016.12,70.3,599,600,304766
2017.01,70.2,405,365,305981
2017.02,70.2,475,0,306711
2017.03,70.1,477,0,307231
2017.04,70.1,543,0,308305
2017.05,70,501,0,309745
2017.06,69.9,470,0,310925
2017.07,69.9,540,0,310884
2017.08,69.8,483,48,311430
2017.09,69.8,309,0,311540
2017.1,69.8,286,0,311590
2017.11,69.8,441,0,311300
2017.12,72.3,652,0,303078
2018.01,72.3,354,0,302789
2018.02,72.2,363,0,302289
2018.03,72.1,965,0,301578
2018.04,72.1,596,0,300467
2018.05,72.1,1655,0,299367
2018.06,72,995,0,298089
2018.07,71.9,1192,0,296567
2018.08,71.8,788,0,295100
2018.09,71.8,540,124,293922
2018.1,71.7,762,0,292822
2018.11,71.7,457,0,292000
2018.12,71.7,668,0,290567
2019.01,71.5,552,0,308773
2019.02,71.5,475,0,308136
2019.03,71.6,810,0,307909
2019.04,71.7,1250,0,307330
2019.05,71.8,750,227,307114
2019.06,71.8,722,0,306818
2019.07,71.8,582,0,305761
2019.08,71.7,318,0,305330
2019.09,71.7,322,0,304989
2019.1,71.7,459,910,305045
2019.11,71.5,677,58,305966
2019.12,71.5,1072,155,308841
2020.01,70.5,1628,0,352167
2020.02,70.8,603,337,352740
2020.03,70.8,1272,0,352740
2020.04,70.7,731,0,352490
2020.05,70.8,946,0,352771
2020.06,70.9,898,0,354104
2020.07,70.7,1089,816,358583
2020.08,70.7,713,0,362781
2020.09,70.6,1634,0,368583
2020.1,70.7,2034,256,374750
2020.11,70.4,1545,0,386479
2020.12,70,797,0,404156
2021.01,70.1,327,0,416125
2021.02,69.6,429,0,429406
2021.03,69,421,0,433771
2021.04,68.8,396,0,435406
2021.05,68.7,575,0,437083
2021.06,68.6,365,0,441427
2021.07,66.9,382,0,520553
2021.08,66.8,338,0,523425
2021.09,66.8,246,0,525046
2021.1,66.7,272,0,526772
2021.11,66.7,193,144,527516
2021.12,66.7,193,0,527702
2022.01,66.6,599,0,528563
2022.02,66.8,604,0,527285
2022.03,66.9,170,0,526940
2022.04,66.9,223,0,526725
2022.05,67,210,0,526289
2022.06,67,181,0,525127
2022.07,66.9,153,0,521969
2022.08,67,135,0,517670
2022.09,67.1,154,0,509079
2022.1,67.1,224,0,500004
2022.11,67.2,1045,0,489786
2022.12,67.2,342,104,475952
2023.01,66.6,149,0,459827
2023.02,64.9,300,0,445411
2023.03,63.9,302,2033,437279
2023.04,63.5,229,303,432307
2023.05,63.6,780,0,431355
2023.06,63.5,1555,2382,431809
2023.07,63.5,1488,0,432200
2023.08,63.7,2699,0,433105
2023.09,63.7,342,391,435643
2023.1,63.7,601,0,437703
2023.11,63.8,930,2150,438088
2023.12,64,265,0,438212
2024.01,64,2975,0,438484
2024.02,64.1,1059,0,438302
2024.03,64.3,633,0,437879
2024.04,64.5,405,0,437705
2024.05,64.6,350,0,437258
2024.06,64.8,313,0,435794
2024.07,65.2,448,0,434164
2024.08,65.7,688,0,433149
2024.09,66,423,0,432499
2024.1,66.3,509,0,430918
2024.11,66.5,427,0,430851
2024.12,66.7,319,0,429785
