연도,전세가율,아파트거래현황,아파트분양물량,아파트평균매매가격
2012.01,56.1,97,0,397588
2012.02,56,193,0,397343
2012.03,56.8,222,0,395461
2012.04,56.6,215,57,392147
2012.05,57.3,225,0,385578
2012.06,56.9,197,0,382098
2012.07,57,180,0,378765
2012.08,57,144,0,376333
2012.09,57.6,129,0,375127
2012.1,58.5,242,632,372853
2012.11,60.3,272,0,369912
2012.12,60.3,420,0,368029
2013.01,61.2,91,0,364657
2013.02,61.9,195,0,362137
2013.03,62.7,404,0,360784
2013.04,63,410,0,361598
2013.05,63,509,0,361833
2013.06,63.3,547,0,360667
2013.07,64,140,0,358676
2013.08,64.9,197,2309,357216
2013.09,65.3,296,0,357382
2013.1,66.2,740,0,359363
2013.11,66.8,682,166,360637
2013.12,67.6,563,0,360127
2014.01,69.2,301,0,357145
2014.02,69.9,477,0,358491
2014.03,70.3,602,0,359355
2014.04,70.5,493,0,357155
2014.05,70.5,454,0,355973
2014.06,70.4,440,0,355627
2014.07,70.5,1223,0,354955
2014.08,70.6,2053,0,354100
2014.09,70.5,1160,0,355400
2014.1,70.5,825,0,356355
2014.11,70.9,584,0,356364
2014.12,71.1,495,0,356591
2015.01,71.2,481,0,357000
2015.02,71.4,657,0,358118
2015.03,71.5,1090,0,359682
2015.04,71.6,964,0,363236
2015.05,72,970,0,365282
2015.06,72.4,850,0,368364
2015.07,74.5,999,0,399309
2015.08,74.5,840,520,401691
2015.09,74.7,794,0,404136
2015.1,74.8,984,0,407336
2015.11,75.2,730,0,411391
2015.12,75.5,543,0,414891
2016.01,75.9,451,0,416309
2016.02,76.1,486,0,416782
2016.03,76.1,656,0,416991
2016.04,76.2,867,0,417373
2016.05,76.3,943,0,418127
2016.06,76.4,992,0,419227
2016.07,76.5,1004,0,420882
2016.08,76.3,1032,0,422600
2016.09,75.3,947,0,437678
2016.1,75,970,0,440644
2016.11,74.5,871,0,444110
2016.12,74.3,547,274,446254
2017.01,74.1,306,0,447178
2017.02,74.1,389,0,447771
2017.03,74,442,0,449339
2017.04,73.8,618,0,451322
2017.05,73.5,827,0,453686
2017.06,72.9,1634,0,457975
2017.07,72.6,1193,0,460483
2017.08,72.3,1093,0,464153
2017.09,72.4,584,0,464000
2017.1,72.3,242,0,464458
2017.11,72.2,431,0,466839
2017.12,68,511,0,479766
2018.01,68,543,0,481953
2018.02,67.9,730,0,489414
2018.03,67.1,1038,0,496055
2018.04,66,587,0,503773
2018.05,65.6,417,0,506711
2018.06,65.2,330,0,508195
2018.07,65.1,464,0,510414
2018.08,64.7,586,0,514484
2018.09,63.8,822,78,525992
2018.1,63.6,664,0,529813
2018.11,63.5,204,0,529859
2018.12,63.5,291,0,529313
2019.01,59.4,105,0,583185
2019.02,59.3,58,0,582395
2019.03,59.2,133,84,581177
2019.04,59.3,235,0,578968
2019.05,59.3,300,0,577355
2019.06,59.4,431,32,576395
2019.07,59.4,355,156,576169
2019.08,59.5,365,45,576645
2019.09,59.5,331,44,577379
2019.1,59.6,768,0,579476
2019.11,59.6,662,0,583266
2019.12,59.4,781,0,588250
2020.01,60.3,774,0,615250
2020.02,60.3,717,962,615932
2020.03,60.4,564,0,616598
2020.04,60.4,480,300,617386
2020.05,60.4,295,0,617000
2020.06,60.4,1000,45,617136
2020.07,59.9,2514,0,623697
2020.08,59.9,877,0,627288
2020.09,60,503,0,629871
2020.1,60.2,333,0,630788
2020.11,60.4,327,0,631848
2020.12,60.6,699,0,633348
2021.01,60.7,454,0,635697
2021.02,60.7,665,0,638765
2021.03,60.7,400,0,641561
2021.04,60.6,398,0,643379
2021.05,60.5,421,0,645197
2021.06,60.3,372,0,649356
2021.07,59.2,501,0,849210
2021.08,59,373,67,858741
2021.09,58.7,261,348,870094
2021.1,58.6,176,0,878239
2021.11,58.4,204,0,885173
2021.12,58.5,140,0,887913
2022.01,58.5,453,0,888983
2022.02,58.4,148,0,888476
2022.03,58.4,138,0,887454
2022.04,58.3,198,0,886393
2022.05,58.3,196,0,886216
2022.06,58.3,89,0,885101
2022.07,58.4,67,0,882980
2022.08,58.5,252,0,879922
2022.09,58.6,50,0,872330
2022.1,58.7,34,0,859939
2022.11,58.4,51,140,843024
2022.12,57.5,53,0,820434
2023.01,56.1,70,0,794209
2023.02,55,109,136,778171
2023.03,54.1,169,0,766080
2023.04,54.1,174,0,759121
2023.05,54.2,202,0,755671
2023.06,54.2,251,0,755146
2023.07,54.1,223,0,758030
2023.08,54.2,256,0,760565
2023.09,54.3,288,24,763598
2023.1,54.5,237,0,768208
2023.11,54.8,203,0,770318
2023.12,55.2,379,551,769679
2024.01,55.6,180,0,765766
2024.02,55.8,181,0,764279
2024.03,55.9,177,0,764262
2024.04,56.1,297,0,765336
2024.05,56.2,294,0,766498
2024.06,56.3,369,0,771101
2024.07,56.3,451,14,779523
2024.08,56.3,417,148,786712
2024.09,56.2,276,0,791672
2024.1,56.3,215,0,794020
2024.11,56.3,205,0,795467
2024.12,56.3,174,0,796624
