연도,전세가율,아파트거래현황,아파트분양물량,아파트평균매매가격
2012.01,59.6,142,0,287444
2012.02,60,322,0,287106
2012.03,59.9,410,164,285711
2012.04,59.4,397,0,283338
2012.05,59.1,378,92,280944
2012.06,59.3,346,0,278549
2012.07,59.4,339,0,275965
2012.08,59.5,278,0,274514
2012.09,60.4,247,0,273458
2012.1,61.1,487,0,272866
2012.11,61.6,601,0,271556
2012.12,60.8,894,0,269986
2013.01,61.3,110,0,268514
2013.02,61.7,345,0,267768
2013.03,62.2,568,0,267585
2013.04,62.3,674,234,267676
2013.05,62.2,767,0,267824
2013.06,62.1,1024,0,267810
2013.07,62.5,248,0,266866
2013.08,63.7,394,0,264225
2013.09,65,492,0,263162
2013.1,65.9,1055,0,264599
2013.11,67.1,800,0,264683
2013.12,67.5,772,0,264845
2014.01,67.9,508,0,266056
2014.02,68,711,0,267437
2014.03,68.2,937,336,269120
2014.04,68.2,860,0,270042
2014.05,68.3,712,0,270204
2014.06,68.3,483,0,270049
2014.07,68.6,623,0,269866
2014.08,68.8,677,0,269690
2014.09,68.9,1009,0,270768
2014.1,69,1311,0,272211
2014.11,69.3,903,0,272535
2014.12,69.6,724,0,272627
2015.01,69.6,677,0,272873
2015.02,69.8,918,0,273824
2015.03,69.8,1274,0,275761
2015.04,70.1,1364,288,278732
2015.05,70.5,1208,0,280577
2015.06,70.7,1092,159,282514
2015.07,72.7,1251,0,293000
2015.08,72.8,1053,0,295056
2015.09,73.6,957,0,297190
2015.1,74.1,1351,0,299239
2015.11,74.7,1060,0,300817
2015.12,75,812,0,301606
2016.01,75.1,562,0,301725
2016.02,75.2,658,0,301810
2016.03,75.3,1183,0,301859
2016.04,75.4,1079,0,301986
2016.05,75.5,1170,0,302085
2016.06,75.4,1186,0,302394
2016.07,75.4,1490,0,302930
2016.08,75.2,1358,0,303697
2016.09,75,1220,0,304662
2016.1,74.6,1384,0,306289
2016.11,74.3,1196,0,308239
2016.12,74.3,860,0,308718
2017.01,74.3,508,0,308690
2017.02,74.3,486,0,308718
2017.03,74.3,664,0,308887
2017.04,74.2,908,0,309324
2017.05,74.1,1092,0,310768
2017.06,73.6,1834,1166,313648
2017.07,72.9,1733,444,316880
2017.08,72.5,2103,0,318401
2017.09,72.6,1476,0,317746
2017.1,72.6,473,0,317972
2017.11,72.5,614,0,318310
2017.12,70.8,685,0,361606
2018.01,70.6,754,0,362431
2018.02,70.4,1205,0,363675
2018.03,70.1,1495,0,364925
2018.04,70,632,0,364975
2018.05,69.9,579,0,365163
2018.06,69.7,502,0,365706
2018.07,69.5,1415,0,366313
2018.08,69.3,811,92,368413
2018.09,68.3,1524,0,374400
2018.1,67.9,1695,0,377194
2018.11,67.7,556,0,378144
2018.12,67.8,312,0,377669
2019.01,59.7,267,0,445903
2019.02,59.8,264,560,444779
2019.03,59.8,222,0,443591
2019.04,60,840,228,442091
2019.05,60,349,0,441760
2019.06,60,458,0,441604
2019.07,59.9,1400,37,441857
2019.08,59.9,894,0,442292
2019.09,59.9,737,0,443195
2019.1,59.8,918,0,445448
2019.11,59.6,1114,0,447370
2019.12,59.5,1454,0,449487
2020.01,58.2,1291,0,467222
2020.02,58,1390,0,468846
2020.03,57.8,1347,0,470932
2020.04,57.6,542,0,472685
2020.05,57.5,517,0,472710
2020.06,57.5,1456,0,473617
2020.07,56.9,1950,721,480086
2020.08,56.8,858,0,483210
2020.09,56.9,1546,0,484531
2020.1,57.1,561,0,485395
2020.11,57.3,485,0,486340
2020.12,57.5,1219,0,488586
2021.01,57.7,728,0,490833
2021.02,57.6,665,0,495278
2021.03,57.5,631,0,498951
2021.04,57.4,582,0,502623
2021.05,57.4,623,0,506691
2021.06,56.9,514,0,514914
2021.07,51.9,489,0,695432
2021.08,51.7,435,0,705035
2021.09,51.5,354,0,712228
2021.1,51.4,312,0,718152
2021.11,51.4,194,0,722041
2021.12,51.3,155,494,723905
2022.01,51.3,87,0,723242
2022.02,51.2,104,0,722215
2022.03,51.2,155,0,721405
2022.04,51.2,272,0,721111
2022.05,51.2,211,0,720231
2022.06,51.3,119,0,718853
2022.07,51.5,92,0,714742
2022.08,51.9,68,0,707755
2022.09,52.3,80,0,698204
2022.1,52.5,75,0,685552
2022.11,52.5,79,0,664035
2022.12,52.1,151,0,631024
2023.01,50.9,108,0,617062
2023.02,49.9,202,0,612632
2023.03,49.4,235,0,609761
2023.04,48.9,196,0,608645
2023.05,48.7,322,0,609774
2023.06,48.6,320,0,610532
2023.07,48.6,306,0,610855
2023.08,48.6,350,0,611298
2023.09,49.1,309,0,613565
2023.1,49.3,251,0,614317
2023.11,49.8,235,0,614132
2023.12,50.1,177,0,612858
2024.01,50.6,201,0,616085
2024.02,50.9,212,0,614968
2024.03,51.3,298,0,614513
2024.04,51.5,395,0,614516
2024.05,51.8,378,0,614608
2024.06,52.1,523,0,615974
2024.07,52.5,759,0,618577
2024.08,52.7,649,0,623304
2024.09,52.8,396,40,627608
2024.1,52.9,322,0,629516
2024.11,53,375,0,630780
2024.12,53,273,0,631013
