연도,전세가율,아파트거래현황,아파트분양물량,아파트평균매매가격
2012.01,48.1,67,0,582373
2012.02,48.1,199,0,582127
2012.03,47.9,224,0,580794
2012.04,47.6,250,0,573216
2012.05,48.1,214,0,570520
2012.06,48.1,214,17,565588
2012.07,48.1,158,0,561176
2012.08,48.7,112,0,550431
2012.09,48.7,129,0,547118
2012.1,49.2,225,181,544216
2012.11,49.5,233,0,542431
2012.12,53.9,413,0,537716
2013.01,54.4,57,0,532578
2013.02,55,152,0,530078
2013.03,55.9,239,0,529020
2013.04,55.8,311,0,532010
2013.05,55.9,415,0,531657
2013.06,56.2,522,0,529598
2013.07,56.8,117,0,524882
2013.08,57.6,140,0,521657
2013.09,58.1,193,0,521706
2013.1,58.5,428,0,523833
2013.11,59.2,368,0,523971
2013.12,59.8,418,0,521873
2014.01,60.8,287,44,524647
2014.02,61.6,431,0,525196
2014.03,62.2,485,0,526020
2014.04,62.5,360,0,524451
2014.05,62.4,280,896,524794
2014.06,62.3,267,0,523833
2014.07,62.4,295,0,523098
2014.08,62.2,310,48,523059
2014.09,62,397,0,528157
2014.1,61.9,616,0,534461
2014.11,62.2,402,0,535422
2014.12,62.5,333,0,535735
2015.01,62.5,278,0,535971
2015.02,62.7,405,0,537951
2015.03,62.9,556,0,540451
2015.04,62.8,707,0,544804
2015.05,62.9,644,0,549931
2015.06,63.1,669,0,554196
2015.07,65.7,864,0,574010
2015.08,65.8,638,0,575990
2015.09,66.2,598,140,579529
2015.1,66.3,661,0,581706
2015.11,66.6,590,0,583559
2015.12,67,606,0,586333
2016.01,67.2,329,0,586667
2016.02,67.4,311,0,586863
2016.03,67.6,403,0,586569
2016.04,67.8,451,0,585902
2016.05,67.9,560,272,586225
2016.06,68,920,0,588882
2016.07,68.1,1083,0,591333
2016.08,68.1,750,0,595245
2016.09,68,602,0,599725
2016.1,67.6,699,0,605961
2016.11,67.6,617,356,611667
2016.12,67.8,820,0,611706
2017.01,67.8,219,0,611853
2017.02,67.8,315,0,611314
2017.03,67.8,381,0,611235
2017.04,67.8,352,0,611353
2017.05,67.7,441,0,613225
2017.06,67.2,743,1130,622804
2017.07,67.1,714,0,624245
2017.08,66.6,676,0,629471
2017.09,66.8,398,15,628431
2017.1,66.9,201,0,629275
2017.11,66.7,447,0,634333
2017.12,68.1,623,0,683450
2018.01,67.3,592,0,705708
2018.02,66.9,587,0,718667
2018.03,66.4,661,0,721208
2018.04,65.8,322,0,718308
2018.05,65.5,321,0,717350
2018.06,65.6,278,644,715925
2018.07,65.6,444,0,717292
2018.08,65.2,1079,0,726267
2018.09,64.2,1048,0,742283
2018.1,64,684,0,744592
2018.11,64,238,0,744692
2018.12,64.1,139,0,743642
2019.01,59.8,155,0,808806
2019.02,59.9,130,0,804463
2019.03,59.9,252,0,798612
2019.04,59.9,377,0,792164
2019.05,59.9,280,0,789597
2019.06,59.9,706,0,788881
2019.07,59.8,662,0,792022
2019.08,59.8,482,0,793000
2019.09,59.8,333,0,793649
2019.1,59.7,477,0,799910
2019.11,59.7,630,0,807642
2019.12,59.2,864,0,827381
2020.01,57.2,638,0,876286
2020.02,57.3,551,0,876079
2020.03,57.2,747,0,876279
2020.04,57,385,238,875343
2020.05,57,655,0,873414
2020.06,56.9,866,48,875407
2020.07,56.5,1135,0,884850
2020.08,56.4,510,153,889929
2020.09,56.4,261,0,893000
2020.1,56.5,436,0,893800
2020.11,56.7,420,0,894514
2020.12,56.9,471,631,897150
2021.01,56.9,463,0,900700
2021.02,56.9,324,0,906261
2021.03,56.8,363,0,912611
2021.04,56.7,292,0,918546
2021.05,56.4,271,0,925554
2021.06,56,190,0,934686
2021.07,54.9,220,0,1196524
2021.08,55,192,48,1202141
2021.09,55,184,0,1208153
2021.1,55.2,117,0,1212415
2021.11,55.3,106,0,1216395
2021.12,55.4,83,0,1218141
2022.01,55.4,72,0,1218153
2022.02,55.3,66,0,1217431
2022.03,55.2,62,0,1217298
2022.04,55.2,116,0,1217758
2022.05,55.1,141,0,1217782
2022.06,55,59,0,1216758
2022.07,54.9,41,0,1215899
2022.08,54.8,30,0,1212423
2022.09,54.8,41,0,1205536
2022.1,54.7,71,0,1191242
2022.11,54.3,31,0,1169726
2022.12,52.9,94,0,1146532
2023.01,51,41,0,1122477
2023.02,49.5,121,0,1111233
2023.03,48.7,147,0,1105295
2023.04,48.5,164,0,1104194
2023.05,48.6,168,0,1105287
2023.06,48.7,191,0,1107992
2023.07,48.8,176,0,1114039
2023.08,48.8,220,0,1122151
2023.09,48.8,204,0,1132008
2023.1,49,149,0,1139244
2023.11,49.4,146,0,1144306
2023.12,49.6,203,92,1144132
2024.01,49.8,170,0,1142736
2024.02,49.9,165,0,1141756
2024.03,50.1,171,0,1141736
2024.04,50.1,154,0,1145399
2024.05,50.2,253,0,1148240
2024.06,50.3,243,0,1155213
2024.07,50.4,411,0,1167481
2024.08,50.3,425,0,1181969
2024.09,50.3,286,0,1191915
2024.1,50.4,194,0,1198279
2024.11,50.4,165,0,1202895
2024.12,50.4,177,197,1205318
