연도,전세가율,아파트거래현황,아파트분양물량,아파트평균매매가격
2012.01,56,107,0,541840
2012.02,55.9,202,0,541255
2012.03,56,229,0,537500
2012.04,56,192,0,535787
2012.05,56,216,291,534660
2012.06,56.7,221,0,530277
2012.07,56.7,250,0,524787
2012.08,56.9,157,0,517926
2012.09,57.7,139,0,512574
2012.1,59.8,244,0,507904
2012.11,60.7,295,94,501628
2012.12,59.1,494,0,498128
2013.01,59.8,128,0,492112
2013.02,60.4,188,0,489803
2013.03,60.6,321,63,489378
2013.04,60.5,308,0,491580
2013.05,60.7,334,0,492160
2013.06,61.6,395,0,487340
2013.07,63.3,279,0,482734
2013.08,64.7,296,54,480606
2013.09,65.9,328,0,481628
2013.1,67.2,393,0,482064
2013.11,68,352,939,481904
2013.12,69.1,462,0,479436
2014.01,69.7,312,0,472469
2014.02,70,515,0,473958
2014.03,69.8,514,0,477167
2014.04,69.3,532,154,477896
2014.05,69.1,419,0,478458
2014.06,69.2,272,0,477490
2014.07,69.2,282,0,477250
2014.08,69.2,274,0,478198
2014.09,69.2,447,0,479385
2014.1,69.4,742,655,480313
2014.11,69.5,506,900,482344
2014.12,69.8,322,0,482542
2015.01,70,340,0,483323
2015.02,70.1,438,0,484083
2015.03,70.3,588,0,484979
2015.04,70.6,728,0,487406
2015.05,70.7,594,0,490333
2015.06,70.7,768,0,493823
2015.07,70.6,647,0,502760
2015.08,70.7,523,0,504281
2015.09,70.9,513,199,506688
2015.1,71,572,0,510240
2015.11,71.2,575,0,513510
2015.12,71.4,423,0,516521
2016.01,71.7,411,0,517323
2016.02,71.9,520,0,516979
2016.03,72,474,0,516677
2016.04,72.1,482,0,517156
2016.05,72.1,538,0,518052
2016.06,72.2,558,0,519229
2016.07,72.3,637,0,521198
2016.08,72.4,630,0,522344
2016.09,72.3,632,0,524469
2016.1,72.2,633,369,527219
2016.11,72.1,532,0,530646
2016.12,72.1,452,0,531844
2017.01,72.1,233,0,532448
2017.02,72.1,270,16,533042
2017.03,72.2,433,0,534104
2017.04,72.1,469,0,536750
2017.05,71.9,618,796,540313
2017.06,72,695,0,547521
2017.07,71.7,599,481,551052
2017.08,71.4,1190,0,554240
2017.09,71.2,1010,0,554708
2017.1,71.2,1134,144,556396
2017.11,71.1,984,701,558677
2017.12,70.6,1225,0,586341
2018.01,70.3,780,0,589568
2018.02,69.9,607,626,596145
2018.03,69.3,1279,154,599964
2018.04,69,411,0,603891
2018.05,68.6,1149,403,606636
2018.06,68.4,400,253,608955
2018.07,67.8,2225,0,614636
2018.08,67,1774,0,625436
2018.09,66.2,620,0,639600
2018.1,66.2,1023,0,642873
2018.11,66.2,352,0,643909
2018.12,66.2,150,0,643364
2019.01,57.7,325,0,777065
2019.02,57.5,66,0,775287
2019.03,57.5,594,0,772435
2019.04,57.3,158,0,771306
2019.05,57.3,137,0,769769
2019.06,57.3,290,0,769528
2019.07,57.2,329,0,770630
2019.08,57.2,553,0,771861
2019.09,57.3,359,0,773546
2019.1,57.2,387,0,778546
2019.11,57.1,669,0,784352
2019.12,57,996,316,790361
2020.01,56.7,1016,0,811102
2020.02,57.3,475,0,805448
2020.03,57.3,1597,0,806083
2020.04,57.3,459,0,806032
2020.05,57.3,334,34,805485
2020.06,57.3,741,0,806553
2020.07,56.9,709,0,815280
2020.08,56.7,427,0,820331
2020.09,56.7,328,0,823466
2020.1,56.8,373,0,824356
2020.11,57,654,0,825407
2020.12,57.3,763,0,827110
2021.01,57.4,507,0,829424
2021.02,57.3,366,0,835983
2021.03,57.2,244,0,839661
2021.04,57.1,183,0,843220
2021.05,57,420,0,848780
2021.06,56.8,192,0,856695
2021.07,53.6,343,0,1139713
2021.08,53.5,243,0,1147357
2021.09,53.5,475,0,1156448
2021.1,53.5,428,0,1163800
2021.11,53.7,197,0,1168135
2021.12,53.8,237,106,1170000
2022.01,53.9,81,0,1170574
2022.02,53.9,330,106,1170152
2022.03,53.9,110,0,1169109
2022.04,53.9,197,0,1168952
2022.05,53.9,164,0,1169404
2022.06,53.9,182,0,1169435
2022.07,54,73,0,1168826
2022.08,54,44,0,1165004
2022.09,54,57,0,1159461
2022.1,54.1,108,0,1147522
2022.11,53.8,116,0,1123074
2022.12,53.2,133,0,1091696
2023.01,52.6,177,0,1070780
2023.02,51.4,137,185,1058257
2023.03,50.7,235,186,1048057
2023.04,50.6,347,0,1045624
2023.05,50.6,398,0,1045702
2023.06,50.7,803,0,1048424
2023.07,50.8,330,0,1053616
2023.08,51,300,122,1058249
2023.09,51,212,0,1065829
2023.1,51.2,194,0,1073384
2023.11,51.5,139,0,1078576
2023.12,51.7,113,0,1079045
2024.01,52.2,265,0,1074336
2024.02,52.4,146,0,1073588
2024.03,52.5,186,0,1074484
2024.04,52.6,303,0,1076524
2024.05,52.6,368,0,1080220
2024.06,52.7,337,0,1088724
2024.07,52.8,545,0,1106164
2024.08,52.6,508,0,1124144
2024.09,52.7,400,0,1133212
2024.1,52.7,399,0,1139772
2024.11,52.8,616,111,1143900
2024.12,52.8,230,0,1145848
