시군구,위계,광역구분,종속구분,도로명,고시일자,시점,종점,도로폭,도로고시길이,도로물리길이,기초간격,도로위계,총점,난이도등급
광진구,대로,행안부,주도로,천호대로,2010-03-15,광진구 중곡동 680-20,광진구 광장동 557-1,52,15510,3820.001,20,대로1류,0,상
광진구,로,시도,주도로,강변북로,2009-07-10,마포구 상암동 496-106(가양대교),광진구 광장동 594(광장동 시계),20,27950,6818.984,20,중로1류,4,중
광진구,로,시군구,주도로,강변역로,2009-10-28,구의동 245-8(광진우체국),구의동 658(세양아파트 입구),39,1126,1126.332,20,대로2류,4,중
광진구,로,시도,주도로,광나루로,2009-07-10,성동구 성수동1가 671(성동교남단),광진구 광장동 575-3(올림픽대교남단),38,6254,3491.494,20,대로2류,2,상
광진구,로,시군구,주도로,광장로,2009-10-28,광장동 401-17(양진중학교),광장동 334-12(광장육교),15,907,906.637,20,중로2류,6,하
광진구,로,시군구,주도로,구의강변로,2010-06-03,자양동 813-0(구의 빗물펌프장),구의동 199-18(삼성쉐르빌ⓐ),23,1090,1090.394,20,중로1류,6,하
광진구,로,시군구,주도로,구의로,2009-10-28,구의동 244-50(KT광진지사),구의동 228-1(구의시장앞),15,767,767.226,20,중로2류,6,하
광진구,로,시도,주도로,구천면로,2010-04-22,광진구 광장동 303-111(광진교남단),강동구 상일동444-1(상일동길),23,7050,466.42,20,중로1류,4,중
광진구,로,시군구,주도로,군자로,2009-10-28,"군자동 503(구, 민중병원 앞)",군자동 478-1(군자역),11,1917,1916.881,20,소로1류,7,하
광진구,로,시군구,주도로,긴고랑로,2009-10-28,중곡동 238-5(중곡펌프장),중곡동 143-146(아차산긴고랑입구),22,2149,2148.82,20,중로1류,6,하
광진구,로,시군구,주도로,능동로,2009-07-10,광진구 자양동 824(청담대교 북단),광진구 중곡동 169-80(중곡SK아파트),32,4510,4509.589,20,대로2류,4,중
광진구,로,행안부,주도로,동부간선로,2017-01-02,서울시 성동구 강변북로 140,경기도 의정부시 동일로 260,20,23700,1426.343,20,중로1류,3,중
광진구,로,행안부,주도로,동일로,2010-07-10,성동구 성수동2가 159-16,경기도 양주시 마전동 118-8,34,28595,4642.292,20,대로2류,1,상
광진구,로,시도,주도로,뚝섬로,2010-04-22,서울특별시 성동구 옥수동 168-1(용산구 경계),서울특별시 광진구 구의동 593-18(동서울호텔 앞),18,6750,2896.502,20,중로2류,4,중
광진구,로,시도,주도로,면목로,2010-04-22,광진구 군자동 64-2,광진구 중곡동 546,14,5100,2050.58,20,중로3류,5,중
광진구,로,행안부,주도로,아차산로,2009-07-10,광진구 화양동 507-7,광진구 광장동 2-6,37,12710,5761.108,20,대로2류,1,상
광진구,로,시군구,주도로,영화사로,2009-10-28,중곡동 79-2(중곡사거리),광장동 383-12(아차산생태공원입구),15,1599,1599.433,20,중로2류,6,하
광진구,로,시도,주도로,용마산로,2009-07-10,광진구 중곡동 471-2,광진구 중곡동  606-1,29,7303,1943.994,20,대로3류,2,상
광진구,로,시군구,주도로,워커힐로,2009-10-28,광장동 530-1(광장삼거리),광장동 363-2(워커힐 입구),11,1776,1776.104,20,소로1류,7,하
