도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도,경사도_점수(1-10점)
"['광장로', '광장앞지하차도']",37.5455088,127.0977724,37.5460169,127.1006016,37.5467466,127.1020308,1
워커힐로,37.5455088,127.0977724,37.5464465,127.0980438,37.546539,127.0980531,1
워커힐로,37.5455088,127.0977724,37.5447,127.09752,37.5439809,127.0972081,1
아차산로,37.536546,127.0835437,37.5365545,127.0836672,37.5365545,127.0836672,1
자양로,37.536546,127.0835437,37.5363987,127.0835873,37.5363103,127.0836135,1
자양로,37.545022,127.0852593,37.5448246,127.0851794,37.544553,127.0850798,1
광나루로,37.545022,127.0852593,37.5450431,127.0856335,37.544975,127.0870503,1
자양로,37.545022,127.0852593,37.5450913,127.0852842,37.5451285,127.0853145,1
아차산로,37.544993,127.1042608,37.5451366,127.1043841,37.5451366,127.1043841,9
천호대로,37.544993,127.1042608,37.5447422,127.1051335,37.5446108,127.1056901,1
아차산로,37.544993,127.1042608,37.5436477,127.1029583,37.5429604,127.1012901,1
동일로,37.5482763,127.0675055,37.5483214,127.0675337,37.5483735,127.0675663,1
광나루로,37.5482763,127.0675055,37.5482415,127.0681359,37.5481693,127.0688027,1
뚝섬로,37.5331998,127.0756803,37.5330228,127.0762812,37.5330228,127.0762812,1
자양번영로,37.5331998,127.0756803,37.5338156,127.0758633,37.5338156,127.0758633,1
뚝섬로,37.5331998,127.0756803,37.5334543,127.0747931,37.5334543,127.0747931,1
자양번영로,37.5331998,127.0756803,37.532597,127.0755173,37.532597,127.0755173,1
,37.5380336,127.0771393,37.538158,127.0771247,37.538158,127.0771247,1
자양번영로,37.5380336,127.0771393,37.5379207,127.0770962,37.5373994,127.0769243,1
아차산로,37.5380336,127.0771393,37.5380027,127.0772607,37.5376324,127.0787038,1
아차산로,37.5401059,127.0941004,37.5403492,127.0945026,37.5403492,127.0945026,1
아차산로,37.5401059,127.0941004,37.53977,127.0935,37.5395727,127.0931743,1
광나루로43길,37.5446885,127.09067,37.5447441,127.0907094,37.5447441,127.0907094,10
광나루로,37.5446885,127.09067,37.5445365,127.0911639,37.5443758,127.09167,1
구의로,37.5446885,127.09067,37.5446143,127.0906488,37.5439096,127.0904748,1
