,도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,총점수
0,광나루로43길(0),37.5446885,127.09067,37.5447441,127.0907094,37.5447441,127.0907094,0.8943174084525546
1,광나루로43길(2),37.5447441,127.0907094,37.5446885,127.09067,37.5446885,127.09067,0.8692085157509016
2,워커힐로(10),37.5473235,127.09822,37.5473994,127.098227,37.5473994,127.098227,0.8593380418297101
3,워커힐로(15),37.546539,127.0980531,37.5467263,127.0980697,37.5467905,127.0980665,0.8286714531413322
4,자양로44길(5),37.5498217,127.0956696,37.5497197,127.0950044,37.5497197,127.0950044,0.8237743428011873
5,자양로2길(2),37.5305782,127.0868893,37.5306341,127.0870113,37.5307173,127.087167,0.8221409023354339
6,천호대로132길(7),37.5483488,127.0875465,37.5481281,127.087304,37.5481281,127.087304,0.8193210605087597
7,자양로23나길(1),37.5418714,127.081922,37.542358,127.0823426,37.542358,127.0823426,0.8035013760928577
8,자양로50길(13),37.5535221,127.0973988,37.5534988,127.0973744,37.5534664,127.0973405,0.8005405611823384
9,천호대로124길(5),37.5519505,127.0873466,37.5514732,127.0860975,37.5514732,127.0860975,0.8003770389681877
10,능동로24길(17),37.5521228,127.0788031,37.5522673,127.0790562,37.5522995,127.0791126,0.7999088721045478
11,능동로24길(11),37.5522995,127.0791126,37.5522673,127.0790562,37.5521228,127.0788031,0.7999088721045478
12,용마산로8나길(1),37.5602716,127.0905625,37.5605457,127.0898272,37.5605457,127.0898272,0.7990446329800557
13,천호대로124길(1),37.5514732,127.0860975,37.5519505,127.0873466,37.5519505,127.0873466,0.7990312044200989
14,자양로23길(16),37.5414281,127.0827975,37.541319,127.0831733,37.541319,127.0831733,0.798352083994449
15,자양로44길(33),37.5517949,127.0959243,37.5522459,127.0956374,37.5522459,127.0956374,0.7974939733458156
16,천호대로124길(16),37.5523866,127.0884563,37.5519505,127.0873466,37.5519505,127.0873466,0.7973489112349881
17,천호대로124길(6),37.5519505,127.0873466,37.5523866,127.0884563,37.5523866,127.0884563,0.7965077646424326
18,워커힐로(0),37.5455088,127.0977724,37.5464465,127.0980438,37.546539,127.0980531,0.7961543419493324
19,워커힐로(8),37.5470861,127.0979741,37.5468389,127.0980041,37.546539,127.0980531,0.7953131953567769
20,자양로44길(3),37.5497197,127.0950044,37.5498217,127.0956696,37.5498217,127.0956696,0.7949644050922904
21,광나루로30가길(1),37.5434254,127.0829711,37.5439658,127.0832693,37.5439658,127.0832693,0.793388932851628
22,천호대로118길(2),37.5530713,127.0846819,37.5523978,127.0842661,37.5523978,127.0842661,0.7842991936696568
23,용마산로8길(0),37.5596279,127.08898,37.5596288,127.0890954,37.5596288,127.0890954,0.7827556100922742
24,광나루로30가길(3),37.5436342,127.0823426,37.5441692,127.0826257,37.5441692,127.0826257,0.7810841524873825
25,광나루로30가길(4),37.5437245,127.0820705,37.5442547,127.0823553,37.5442547,127.0823553,0.7797383179392937
26,천호대로137길(9),37.5496991,127.0931475,37.549222,127.0928851,37.5491409,127.0928374,0.7791739416841836
27,천호대로137길(15),37.5491409,127.0928374,37.549222,127.0928851,37.5496991,127.0931475,0.7791739416841836
28,긴고랑로45길(1),37.5610787,127.0955515,37.5606661,127.0948084,37.5601059,127.0948625,0.7776254012391817
29,천호대로116길(13),37.5526682,127.0828392,37.5522324,127.0819474,37.5525485,127.0814829,0.7769808320676806
30,천호대로116길(1),37.5525485,127.0814829,37.552229,127.0819916,37.5526682,127.0828392,0.7769808320676806
31,자양로23길(5),37.5423228,127.0831644,37.5426924,127.0834171,37.5426924,127.0834171,0.7767760069815293
32,광나루로30다길(4),37.5428178,127.0830429,37.5426924,127.0834171,37.5426924,127.0834171,0.7761030897074849
33,광나루로43길(1),37.5464194,127.0914157,37.5457135,127.0914573,37.5447441,127.0907094,0.775196126339494
34,광나루로43길(3),37.5447441,127.0907094,37.5457135,127.0914573,37.5464194,127.0914157,0.775196126339494
35,광나루로30가길(7),37.5438622,127.0835969,37.5439658,127.0832693,37.5439658,127.0832693,0.7746133646568079
36,광나루로30가길(11),37.5439658,127.0832693,37.5438622,127.0835969,37.5438622,127.0835969,0.7744451353382968
37,능동로24길(21),37.5525713,127.0801082,37.5521365,127.0797631,37.5521228,127.0788031,0.7738689759219687
38,능동로24길(19),37.5521228,127.0788031,37.5521365,127.0797631,37.5525713,127.0801082,0.7738689759219687
39,용마산로8나길(9),37.5605457,127.0898272,37.5602716,127.0905625,37.5602716,127.0905625,0.7735992816413807
40,광나루로17길(13),37.5479754,127.0729145,37.547988,127.0728111,37.547988,127.0728111,0.7713818332089548
41,광나루로17길(2),37.547988,127.0728111,37.5479754,127.0729145,37.5479754,127.0729145,0.7713818332089548
42,자양로44길(9),37.55023,127.0966244,37.5499408,127.0961202,37.5498217,127.0956696,0.770612930570681
43,자양로44길(6),37.5498217,127.0956696,37.5499408,127.0961202,37.55023,127.0966244,0.770612930570681
44,자양로52길(7),37.552818,127.0941613,37.5536601,127.0948536,37.5536601,127.0948536,0.7673320726129711
45,용마산로8나길(10),37.560256,127.0896388,37.5605457,127.0898272,37.5605457,127.0898272,0.7667676963578611
46,자양로23나길(9),37.542358,127.0823426,37.5418714,127.081922,37.5418714,127.081922,0.765751244389937
47,자양로33길(3),37.5473159,127.085843,37.5474019,127.0859064,37.5474019,127.0859064,0.765510297326645
48,자양로33길(0),37.5474019,127.0859064,37.5473159,127.085843,37.5473159,127.085843,0.765510297326645
49,천호대로117길(9),37.5559328,127.0848597,37.5554561,127.0845439,37.5553329,127.0844711,0.7627471567696726
50,천호대로117길(13),37.5553329,127.0844711,37.5554561,127.0845439,37.5559328,127.0848597,0.7627471567696726
51,자양로23가길(4),37.5418714,127.081922,37.5419941,127.081643,37.5419941,127.081643,0.7600188919058548
52,자양로37길(19),37.5489312,127.085706,37.5486865,127.0854643,37.5474019,127.0859064,0.7594118660829927
53,자양로37길(0),37.5474019,127.0859064,37.5486865,127.0854643,37.5489312,127.085706,0.7594118660829927
54,자양로37길(5),37.5483448,127.0869937,37.5485257,127.0867347,37.5485257,127.0867347,0.757969747467687
55,천호대로127길(14),37.5543393,127.0909009,37.5539684,127.0914234,37.5539684,127.0914234,0.7571955892588063
56,자양로39길(7),37.5489365,127.0886515,37.5486296,127.0890741,37.5485615,127.0891638,0.7564799477412629
57,자양로39길(0),37.5485615,127.0891638,37.5486296,127.0890741,37.5489365,127.0886515,0.7564799477412629
58,광나루로30가길(2),37.5435359,127.0826384,37.5440731,127.0829299,37.5440731,127.0829299,0.7563117184227519
59,동일로56라길(0),37.5550756,127.0733537,37.5551429,127.073735,37.5551429,127.073735,0.7561692492916617
60,뚝섬로48길(4),37.5296338,127.0768026,37.5290082,127.0766001,37.5289882,127.0765944,0.7556414688041919
61,자양로44길(19),37.5500585,127.0941037,37.5497112,127.0949078,37.5497197,127.0950044,0.7521487097034733
62,자양로44길(4),37.5497197,127.0950044,37.5497112,127.0949078,37.5500585,127.0941037,0.7521487097034733
63,용마산로8길(20),37.5592571,127.0890252,37.5596288,127.0890954,37.5596288,127.0890954,0.7510796454928299
64,광나루로30다길(2),37.5426924,127.0834171,37.5428178,127.0830429,37.5428178,127.0830429,0.7509941970058321
65,자양로23길(8),37.5426924,127.0834171,37.5423228,127.0831644,37.5423228,127.0831644,0.7506577383688099
66,영화사로16길(11),37.5537549,127.0970355,37.5535221,127.0973988,37.5535221,127.0973988,0.7500889537123268
67,능동로32길(24),37.5539103,127.0791328,37.5549906,127.0797585,37.5549906,127.0797585,0.75003374848987
68,광나루로30가길(16),37.5441692,127.0826257,37.5442547,127.0823553,37.5442547,127.0823553,0.7489997839996219
69,광나루로30가길(14),37.5440731,127.0829299,37.5439658,127.0832693,37.5439658,127.0832693,0.7489997839996219
70,자양로23가길(5),37.5419941,127.081643,37.5418714,127.081922,37.5418714,127.081922,0.7488917167711868
71,광나루로30가길(20),37.5442547,127.0823553,37.5441692,127.0826257,37.5441692,127.0826257,0.7488315546811107
72,광나루로30가길(13),37.5440731,127.0829299,37.5441692,127.0826257,37.5441692,127.0826257,0.7483268667255774
73,자양강변길(9),37.5276765,127.0828734,37.5276807,127.0819119,37.5276807,127.0819119,0.7475360688996244
74,자양로37길(6),37.5485257,127.0867347,37.5483448,127.0869937,37.5483448,127.0869937,0.746674343014508
75,면목로5길(17),37.5565134,127.0739646,37.5567537,127.0737872,37.5567537,127.0737872,0.7453001603638757
76,워커힐로(14),37.546539,127.0980531,37.5463039,127.0980181,37.5455088,127.0977724,0.7452636392719825
77,자양로52길(11),37.5525351,127.0945469,37.5527472,127.0953472,37.5527472,127.0953472,0.7437372437779183
78,자양로50가길(1),37.5529944,127.0939208,37.5538701,127.0946261,37.5538701,127.0946261,0.7423914092298295
79,"['광나루로24길', '광나루로28길'](0)",37.5454617,127.0791879,37.545099,127.0789064,37.5453592,127.0782075,0.7420122263493084
80,"['광나루로24길', '광나루로28길'](1)",37.5453592,127.0782075,37.545099,127.0789064,37.5454617,127.0791879,0.7420122263493084
81,천호대로115길(2),37.5564431,127.0835668,37.5559435,127.0832447,37.5558302,127.0831709,0.7416944518428497
82,긴고랑로45길(0),37.5601059,127.0948625,37.5610561,127.0953919,37.5610787,127.0955515,0.7410253223604929
83,능동로24길(18),37.5521228,127.0788031,37.5520656,127.0786748,37.5520451,127.0786192,0.7406016462222585
84,능동로24길(12),37.5525322,127.0789559,37.5522995,127.0791126,37.5522995,127.0791126,0.740336061640056
85,능동로24길(9),37.5522995,127.0791126,37.5525322,127.0789559,37.5525322,127.0789559,0.7396631443660117
86,능동로32길(6),37.5522788,127.0865801,37.5520369,127.0872436,37.5520369,127.0872436,0.7389537060000739
87,광장로1길(5),37.5484404,127.1029869,37.5485403,127.1032717,37.5485959,127.1034912,0.7384454825484195
88,광장로1길(6),37.5485959,127.1034912,37.5485403,127.1032717,37.5484404,127.1029869,0.7384454825484195
89,자양로54길(6),37.5532631,127.0952837,37.5529859,127.0952511,37.5527472,127.0953472,0.7368219300818865
90,동일로38길(8),37.5514729,127.070474,37.5516614,127.0706419,37.5516614,127.0706419,0.7353746305717208
91,영화사로16길(13),37.5536311,127.0955898,37.5533517,127.0952941,37.5533517,127.0952941,0.7344667196227311
92,영화사로3길(14),37.5583177,127.093965,37.5587602,127.0940544,37.5587602,127.0940544,0.7337520256861866
