유치원명,주소,위도,경도
경원유치원,서울특별시 광진구 영화사로 89,37.5548839,127.096123
광남유치원,서울특별시 광진구 아차산로70길 40,37.5661047,127.0781919
광장유치원,서울특별시 광진구 광장로7길 17,37.5416221,127.1007163
대원유치원,서울특별시 광진구 뚝섬로41길 20,37.5485485,127.1052492
동인유치원,서울특별시 광진구 자양로30길 6,37.5345769,127.0756665
미파유치원,서울특별시 광진구 용마산로 185,37.5435996,127.0852281
보성유치원,서울특별시 광진구 아차산로 552,37.5702365,127.0858746
샬롬유치원,서울특별시 광진구 아차산로65길 65,37.5430591,127.1033732
서울구의초등학교병설유치원,서울특별시 광진구 광나루로30길 49,37.5424635,127.0917331
서울신양초등학교병설유치원,서울특별시 광진구 능동로 42,37.5430129,127.0807233
서울신자초등학교병설유치원,서울특별시 광진구 뚝섬로46길 64,37.5348621,127.0692999
서울양남초등학교병설유치원,서울특별시 광진구 뚝섬로64길 71,37.5302699,127.0755971
서울양진초등학교병설유치원,서울특별시 광진구 워커힐로 32,37.5310737,127.0896505
서울용곡초등학교병설유치원,서울특별시 광진구 용마산로22길 82,37.5450433,127.0983487
서울자양초등학교병설유치원,서울특별시 광진구 아차산로44길 26,37.5671118,127.0884712
서울중광초등학교병설유치원,서울특별시 광진구 긴고랑로13길 59,37.5369826,127.0796624
선경유치원,서울특별시 광진구 뚝섬로66길 14,37.5652655,127.0827202
선미유치원,서울특별시 광진구 면목로5길 54,37.533379,127.0897749
선양유치원,서울특별시 광진구 동일로 256-1,37.5562377,127.0730369
슬기유치원,서울특별시 광진구 자양로 296,37.5541603,127.0712926
아이조아유치원,서울특별시 광진구 긴고랑로7길 65,37.5520594,127.0925966
어린이회관유치원,서울특별시 광진구 광나루로 441,37.5662069,127.0804782
영화유치원,서울특별시 광진구 영화사로 105,37.5470277,127.0780956
예일유치원,서울특별시 광진구 천호대로111길 41,37.5540696,127.0977311
자양하나유치원,서울특별시 광진구 아차산로41길 22-5,37.5582796,127.082811
청구이화유치원,서울특별시 광진구 아차산로 503-23,37.53889,127.0786358
프라임유치원,서울특별시 광진구 광나루로56길 5,37.5422736,127.0965576
한일유치원,서울특별시 광진구 뚝섬로35길 16-20,37.5387743,127.0983624
현정유치원,서울특별시 광진구 광나루로 534-1,37.5351654,127.0715274
선화예술중학교,서울특별시 광진구 천호대로 664,37.55009,127.08767
자양중학교,서울특별시 광진구 뚝섬로41길 33,37.5355857,127.074592
용곡중학교,서울특별시 광진구 용마산로22길 76,37.5660972,127.088989
양진중학교,서울특별시 광진구 워커힐로 32,37.5450433,127.098349
신양중학교,서울특별시 광진구 자양강변길 73,37.5335768,127.063476
대원국제중학교,서울특별시 광진구 용마산로22길 26,37.5633128,127.089552
동국대학교사범대학부속여자중학교,서울특별시 광진구 광나루로36길 47,37.5432792,127.0869682
구의중학교,서울특별시 광진구 광나루로30길 80,37.5431208,127.079079
광진중학교,서울특별시 광진구 뚝섬로64길 45,37.5322716,127.089613
광장중학교,서울특별시 광진구 광장로1길 1,37.5472791,127.101772
광양중학교,서울특별시 광진구 자양로3길 7,37.5304018,127.085461
광남중학교,서울특별시 광진구 아차산로70길 17-62,37.5407382,127.10177
건국대학교사범대학부속중학교,서울특별시 광진구 자양로 145-1,37.5412444,127.082486
세종초등학교,서울특별시 광진구 군자로 114,37.5530324,127.072906
성동초등학교,서울특별시 광진구 자양로4길 63,37.5331782,127.089527
서울중마초등학교,서울특별시 광진구 동일로72길 43,37.5661418,127.080065
서울중광초등학교,서울특별시 광진구 긴고랑로13길 59,37.5652655,127.08272
서울장안초등학교,서울특별시 광진구 군자로 74,37.5503861,127.072206
서울자양초등학교,서울특별시 광진구 아차산로44길 26,37.5369826,127.079662
서울용마초등학교,서울특별시 광진구 천호대로113길 10,37.558221,127.084464
서울용곡초등학교,서울특별시 광진구 용마산로22길 82,37.5671118,127.088471
서울양진초등학교,서울특별시 광진구 워커힐로 32,37.5450433,127.098349
서울양남초등학교,서울특별시 광진구 뚝섬로64길 71,37.5310737,127.089651
서울신자초등학교,서울특별시 광진구 뚝섬로46길 64,37.5302699,127.075597
서울신양초등학교,서울특별시 광진구 능동로 42,37.5348621,127.0692999
서울성자초등학교,서울특별시 광진구 뚝섬로56길 7,37.5313435,127.08305
서울동자초등학교,서울특별시 광진구 뚝섬로 561,37.5348077,127.072706
