도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,거리
"['광장로', '광장앞지하차도'](0)",37.5455088,127.0977724,37.5460169,127.1006016,37.5467466,127.1020308,1252
"['광장로', '광장앞지하차도'](1)",37.5467466,127.1020308,37.5460169,127.1006016,37.5455088,127.0977724,1252
워커힐로(0),37.5455088,127.0977724,37.5464465,127.0980438,37.546539,127.0980531,1383
워커힐로(1),37.5455088,127.0977724,37.5447,127.09752,37.5439809,127.0972081,1383
워커힐로(2),37.5426562,127.0942678,37.5426948,127.094317,37.5426948,127.094317,1521
워커힐로(3),37.54339,127.0964,37.54326,127.09533,37.5426948,127.094317,1484
워커힐로(4),37.54339,127.0964,37.54388,127.09711,37.5439809,127.0972081,1409
워커힐로(5),37.5439809,127.0972081,37.5447,127.09752,37.5455088,127.0977724,1383
워커힐로(6),37.5439809,127.0972081,37.54353,127.09667,37.54339,127.0964,1416
워커힐로(7),37.5472793,127.0982105,37.5473235,127.09822,37.5473235,127.09822,1360
워커힐로(8),37.5470861,127.0979741,37.5468389,127.0980041,37.546539,127.0980531,1378
워커힐로(9),37.5470086,127.0981241,37.5471019,127.0981815,37.5471019,127.0981815,1364
워커힐로(10),37.5473235,127.09822,37.5473994,127.098227,37.5473994,127.098227,1360
워커힐로(11),37.5476377,127.0983037,37.5474001,127.098138,37.547341,127.0980421,1362
워커힐로(12),37.5473994,127.098227,37.5474486,127.0982326,37.5476377,127.0983037,1357
워커힐로(13),37.5467905,127.0980665,37.5469263,127.0980885,37.5470086,127.0981241,1366
워커힐로(14),37.546539,127.0980531,37.5463039,127.0980181,37.5455088,127.0977724,1379
워커힐로(15),37.546539,127.0980531,37.5467263,127.0980697,37.5467905,127.0980665,1377
워커힐로(16),37.5426948,127.094317,37.5426562,127.0942678,37.5426562,127.0942678,1522
워커힐로(17),37.5426948,127.094317,37.5433,127.09548,37.54339,127.0964,1480
아차산로(0),37.536546,127.0835437,37.5365545,127.0836672,37.5365545,127.0836672,1542
아차산로(1),37.544993,127.1042608,37.5451366,127.1043841,37.5451366,127.1043841,1030
아차산로(2),37.544993,127.1042608,37.5436477,127.1029583,37.5429604,127.1012901,1096
아차산로(3),37.5380336,127.0771393,37.5380027,127.0772607,37.5376324,127.0787038,1472
아차산로(4),37.5401059,127.0941004,37.5403492,127.0945026,37.5403492,127.0945026,1451
아차산로(5),37.5401059,127.0941004,37.53977,127.0935,37.5395727,127.0931743,1475
아차산로(6),37.5493016,127.1079949,37.54828,127.10728,37.5482083,127.1072098,808
아차산로(7),37.5493016,127.1079949,37.5493578,127.1081292,37.5503666,127.1087805,740
아차산로(8),37.5461477,127.105331,37.5467434,127.1058268,37.5467434,127.1058268,945
아차산로(9),37.5461477,127.105331,37.5457441,127.1049887,37.5457441,127.1049887,975
아차산로(10),37.5387157,127.0743583,37.5386637,127.0745752,37.5385384,127.0750969,1374
아차산로(11),37.5371192,127.0807492,37.5370041,127.0812097,37.5370041,127.0812097,1541
아차산로(12),37.5370234,127.0854908,37.5369022,127.0850093,37.5369022,127.0850093,1565
아차산로(13),37.5374595,127.0872237,37.5373068,127.0866171,37.5373068,127.0866171,1569
