0,1,2,3,4,5,6,7,8,9,10,11,12
"['광장로', '광장앞지하차도']",37.5455088,127.0977724,8시간 9분,8시간 35분,37.5460169,127.1006016,5시간 49분,6시간 20분,37.5467466,127.1020308,5시간 49분,5시간 49분
워커힐로,37.5455088,127.0977724,8시간 9분,8시간 35분,37.5464465,127.0980438,9시간 48분,9시간 48분,37.546539,127.0980531,9시간 34분,9시간 34분
워커힐로,37.5455088,127.0977724,8시간 9분,8시간 35분,37.5447,127.09752,7시간 44분,7시간 44분,37.5439809,127.0972081,3시간 24분,3시간 24분
아차산로,37.536546,127.0835437,0시간 00분,0시간 00분,37.5365545,127.0836672,0시간 00분,0시간 00분,37.5365545,127.0836672,0시간 00분,0시간 00분
자양로,37.536546,127.0835437,0시간 00분,0시간 00분,37.5363987,127.0835873,4시간 11분,4시간 15분,37.5363103,127.0836135,4시간 22분,5시간 7분
자양로,37.545022,127.0852593,5시간 12분,5시간 12분,37.5448246,127.0851794,4시간 2분,4시간 27분,37.544553,127.0850798,3시간 27분,3시간 27분
광나루로,37.545022,127.0852593,5시간 12분,5시간 12분,37.5450431,127.0856335,4시간 12분,4시간 30분,37.544975,127.0870503,2시간 18분,2시간 18분
자양로,37.545022,127.0852593,5시간 12분,5시간 12분,37.5450913,127.0852842,5시간 57분,6시간 1분,37.5451285,127.0853145,6시간 51분,6시간 51분
아차산로,37.544993,127.1042608,2시간 50분,3시간 16분,37.5451366,127.1043841,2시간 40분,5시간 8분,37.5451366,127.1043841,2시간 40분,5시간 8분
천호대로,37.544993,127.1042608,2시간 50분,3시간 16분,37.5447422,127.1051335,1시간 56분,2시간 57분,37.5446108,127.1056901,3시간 43분,4시간 21분
아차산로,37.544993,127.1042608,2시간 50분,3시간 16분,37.5436477,127.1029583,1시간 49분,2시간 41분,37.5429604,127.1012901,2시간 28분,2시간 37분
동일로,37.5482763,127.0675055,2시간 23분,2시간 23분,37.5483214,127.0675337,2시간 19분,2시간 19분,37.5483735,127.0675663,2시간 9분,2시간 9분
광나루로,37.5482763,127.0675055,2시간 23분,2시간 23분,37.5482415,127.0681359,0시간 15분,0시간 15분,37.5481693,127.0688027,1시간 41분,1시간 41분
뚝섬로,37.5331998,127.0756803,2시간 12분,2시간 12분,37.5330228,127.0762812,0시간 25분,0시간 40분,37.5330228,127.0762812,0시간 25분,0시간 40분
자양번영로,37.5331998,127.0756803,2시간 12분,2시간 12분,37.5338156,127.0758633,3시간 7분,3시간 7분,37.5338156,127.0758633,3시간 7분,3시간 7분
뚝섬로,37.5331998,127.0756803,2시간 12분,2시간 12분,37.5334543,127.0747931,1시간 20분,1시간 20분,37.5334543,127.0747931,1시간 20분,1시간 20분
자양번영로,37.5331998,127.0756803,2시간 12분,2시간 12분,37.532597,127.0755173,2시간 43분,2시간 43분,37.532597,127.0755173,2시간 43분,2시간 43분
교차로,37.5380336,127.0771393,0시간 00분,0시간 00분,37.538158,127.0771247,1시간 17분,1시간 17분,37.538158,127.0771247,1시간 17분,1시간 17분
자양번영로,37.5380336,127.0771393,0시간 00분,0시간 00분,37.5379207,127.0770962,2시간 30분,3시간 9분,37.5373994,127.0769243,3시간 18분,3시간 18분
아차산로,37.5380336,127.0771393,0시간 00분,0시간 00분,37.5380027,127.0772607,0시간 00분,0시간 00분,37.5376324,127.0787038,0시간 00분,0시간 00분
아차산로,37.5401059,127.0941004,1시간 30분,3시간 14분,37.5403492,127.0945026,1시간 48분,3시간 10분,37.5403492,127.0945026,1시간 48분,3시간 10분
아차산로,37.5401059,127.0941004,1시간 30분,3시간 14분,37.53977,127.0935,1시간 29분,1시간 40분,37.5395727,127.0931743,1시간 56분,3시간 7분
광나루로43길,37.5446885,127.09067,6시간 32분,6시간 36분,37.5447441,127.0907094,7시간 15분,7시간 22분,37.5447441,127.0907094,7시간 15분,7시간 22분
광나루로,37.5446885,127.09067,6시간 32분,6시간 36분,37.5445365,127.0911639,2시간 29분,2시간 47분,37.5443758,127.09167,1시간 27분,2시간 56분
구의로,37.5446885,127.09067,6시간 32분,6시간 36분,37.5446143,127.0906488,3시간 38분,3시간 38분,37.5439096,127.0904748,2시간 10분,2시간 10분
군자로,37.5480112,127.0704657,2시간 47분,2시간 52분,37.5480867,127.0704909,4시간 35분,4시간 35분,37.5480867,127.0704909,4시간 35분,4시간 35분
군자로,37.5480112,127.0704657,2시간 47분,2시간 52분,37.5479225,127.0704482,1시간 37분,1시간 37분,37.5474811,127.0703611,2시간 8분,2시간 8분
광나루로,37.5480112,127.0704657,2시간 47분,2시간 52분,37.5477814,127.0719778,0시간 00분,0시간 00분,37.5476959,127.0723769,0시간 35분,0시간 52분
