도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도,연속 일조량,총 일조량,경사도_점수(1-10점)
"['광장로', '광장앞지하차도'](0)",37.5455088,127.0977724,37.5460169,127.1006016,37.5467466,127.1020308,6,6,5
"['광장로', '광장앞지하차도'](1)",37.5467466,127.1020308,37.5460169,127.1006016,37.5455088,127.0977724,4,5,5
워커힐로(0),37.5455088,127.0977724,37.5464465,127.0980438,37.546539,127.0980531,9,9,5
워커힐로(1),37.5455088,127.0977724,37.5447,127.09752,37.5439809,127.0972081,6,6,4
워커힐로(2),37.5426562,127.0942678,37.5426948,127.094317,37.5426948,127.094317,7,7,0
워커힐로(3),37.54339,127.0964,37.54326,127.09533,37.5426948,127.094317,4,5,5
워커힐로(4),37.54339,127.0964,37.54388,127.09711,37.5439809,127.0972081,3,3,5
워커힐로(5),37.5439809,127.0972081,37.5447,127.09752,37.5455088,127.0977724,6,6,4
워커힐로(6),37.5439809,127.0972081,37.54353,127.09667,37.54339,127.0964,2,2,5
워커힐로(7),37.5472793,127.0982105,37.5473235,127.09822,37.5473235,127.09822,9,9,0
워커힐로(8),37.5470861,127.0979741,37.5468389,127.0980041,37.546539,127.0980531,9,9,5
워커힐로(9),37.5470086,127.0981241,37.5471019,127.0981815,37.5471019,127.0981815,9,9,0
워커힐로(10),37.5473235,127.09822,37.5473994,127.098227,37.5473994,127.098227,9,9,9
워커힐로(11),37.5476377,127.0983037,37.5474001,127.098138,37.547341,127.0980421,9,9,0
워커힐로(12),37.5473994,127.098227,37.5474486,127.0982326,37.5476377,127.0983037,9,9,0
워커힐로(13),37.5467905,127.0980665,37.5469263,127.0980885,37.5470086,127.0981241,9,9,0
워커힐로(14),37.546539,127.0980531,37.5463039,127.0980181,37.5455088,127.0977724,7,7,5
워커힐로(15),37.546539,127.0980531,37.5467263,127.0980697,37.5467905,127.0980665,9,9,7
워커힐로(16),37.5426948,127.094317,37.5426562,127.0942678,37.5426562,127.0942678,7,9,0
워커힐로(17),37.5426948,127.094317,37.5433,127.09548,37.54339,127.0964,4,6,5
아차산로(0),37.536546,127.0835437,37.5365545,127.0836672,37.5365545,127.0836672,0,0,0
아차산로(1),37.544993,127.1042608,37.5451366,127.1043841,37.5451366,127.1043841,2,4,7
아차산로(2),37.544993,127.1042608,37.5436477,127.1029583,37.5429604,127.1012901,2,2,0
아차산로(3),37.5380336,127.0771393,37.5380027,127.0772607,37.5376324,127.0787038,0,0,0
아차산로(4),37.5401059,127.0941004,37.5403492,127.0945026,37.5403492,127.0945026,1,3,0
아차산로(5),37.5401059,127.0941004,37.53977,127.0935,37.5395727,127.0931743,1,2,0
아차산로(6),37.5493016,127.1079949,37.54828,127.10728,37.5482083,127.1072098,5,5,4
아차산로(7),37.5493016,127.1079949,37.5493578,127.1081292,37.5503666,127.1087805,2,3,5
아차산로(8),37.5461477,127.105331,37.5467434,127.1058268,37.5467434,127.1058268,6,6,0
아차산로(9),37.5461477,127.105331,37.5457441,127.1049887,37.5457441,127.1049887,8,7,5
아차산로(10),37.5387157,127.0743583,37.5386637,127.0745752,37.5385384,127.0750969,0,0,0
아차산로(11),37.5371192,127.0807492,37.5370041,127.0812097,37.5370041,127.0812097,6,7,0
아차산로(12),37.5370234,127.0854908,37.5369022,127.0850093,37.5369022,127.0850093,8,8,0
아차산로(13),37.5374595,127.0872237,37.5373068,127.0866171,37.5373068,127.0866171,8,8,0
