순번,구,년도,주소,길이,시작점 위도_0,시작점 경도_0,시작점 위도_1,시작점 경도_1,시작점 위도_2,시작점 경도_2,시작점 위도_3,시작점 경도_3
125,광진구,2022,구의동 34-8 ~ 81-3(자양로50길),278,37.5534664,127.0973405,37.5529293,127.0967366,37.5525862,127.0954121,,
126,광진구,2022,구의동 23-26 ~ 23-30(동의초등학교) + <156>구의동 662 ~ 23-29(영화사로16길) + 구의동 143-1 ~ 21-32(영화사로16길),76,37.5545422,127.0948155,37.5544225,127.095364,37.5544096,127.0959686,37.5535221,127.0973988
127,광진구,2022,중곡동 176-1(용곡초등학교),76,37.5651463,127.0883618,37.5663391,127.0883319,,,,
128,광진구,2022,중곡3동 194-19 ~ 608-6,160,37.5700825,127.0861457,37.5701344,127.0857168,,,,
129,광진구,2022,아차산로78길 90,140,37.5496332,127.1102554,37.5496878,127.1099088,37.5494407,127.1097437,37.5495289,127.1093835
130,광진구,2022,아차산로78가길 17,140,37.5504023,127.1105769,37.5504482,127.1102548,37.550366,127.1100458,37.5504186,127.1097671
131,광진구,2023,"중곡동 176-144 ~ 176-42(용마산로28길, 용암사입구)",229,37.5671996,127.0893237,37.567472,127.088415,,,,
132,광진구,2023,중곡동 297-6 ~ 176-110(용마산로30길),348,37.5683951,127.0865523,37.568632,127.0868328,37.5686915,127.088021,37.5685362,127.0889133
133,광진구,2023,중곡동 289-2 ~ 287-2(용마산로34길),187,37.5700832,127.0863722,37.5700754,127.0883081,,,,
134,광진구,2023,중곡동 289-10 ~ 294-1(용마산로32길),237,37.5693495,127.0861847,37.5693621,127.0886444,,,,
135,광진구,2023,중곡동 21-11 ~ 271-1(용마산로22길),260,37.5635148,127.0870087,37.5636934,127.0884141,,,,
137,광진구,2023,구의동 556-6 ~ 549-3(영화사로11길),210,37.5549911,127.0934318,37.5561333,127.0949859,,,,
138,광진구,2023,구의동 558-11 ~ 551-2(영화사로13길),220,37.5547365,127.0936349,37.5555427,127.0949918,37.5559504,127.0953974,,
139,광진구,2023,구의동 22-34 ~ 22-27(영화사로16가길),50,37.5533169,127.095223,37.5536072,127.0955629,,,,
140,광진구,2023,구의동 549-3 ~ 중곡동 104-11(영화사로9길~영화사로11길),70,37.5563947,127.0945954,37.5563458,127.0948187,37.5562826,127.09497,,
141,광진구,2024,중곡동 70-12 ~ 69-5(긴고랑로41길),67,37.5588338,127.0926268,37.559187,127.0926656,37.5594041,127.0928082,,
142,광진구,2024,중곡동 168-1 ~ 169-11(능동로55길),60,37.5681566,127.0853899,37.5680371,127.0848779,,,,
143,광진구,2024,중곡동 605-1 ~ 599-2(용마산로36길),170,37.5708345,127.0862433,37.5708405,127.0881114,,,,
144,광진구,2024,중곡동 36-2 ~ 35-2(능동로48길),30,37.5618705,127.0858078,37.5620392,127.0871068,,,,
145,광진구,2024,구의동 43-11 ~ 36-20(자일로44길),90,37.5500772,127.0963536,37.5497404,127.0951757,,,,
146,광진구,2024,구의동 77-47 ~ 614-3(자양로39길),60,37.5491502,127.0883124,37.549142,127.0883286,,,,
147,광진구,2024,자양동 609-17 ~ 609-16(자양로13다길),30,37.5335812,127.0770819,37.5333465,127.0773657,,,,
148,광진구,2024,자양동 659-20 ~ 659-32(뚝섬로59길),40,37.5329033,127.0838778,37.5320095,127.0842511,,,,
149,광진구,2024,자양동 610 ~ 611-5(자양변영로8길),25,37.5344075,127.0760722,37.5343699,127.0763522,,,,
150,광진구,2024,능동 320-56 ~ 320-58(능동록30길),50,37.5539101,127.0791526,37.5536837,127.0790117,,,,
151,광진구,2024,광장동 121 ~ 148-4(아차산로 78길),150,37.550342,127.1087811,37.550002,127.1095114,,,,
152,광진구,2024,광장동 244-24 ~ 241-1(아차산로73길),40,37.5459287,127.1043936,37.5457199,127.1049203,,,,
153,광진구,2024,구의동 57-30 ~ 57-120(천호대로137길),55,37.5496618,127.0930953,37.5491811,127.0928535,,,,
154,광진구,2024,중곡동 71 ~ 72-10(긴고랑길39길),50,37.5592932,127.093239,37.5591994,127.0940541,,,,
155,광진구,2024,화양동 132-34 ~ 132-63(능동로17길),30,37.5468015,127.0706124,37.5467648,127.0711911,,,,
157,광진구,2024,중곡동 150-323 ~ 150-300(용마산로8가길),60,37.561731,127.0885824,37.5618071,127.0892278,,,,
158,광진구,2024,구의동 254-36 ~ 254-44(자양로),70,37.5423163,127.0831995,37.5420726,127.0839859,,,,
159,광진구,2024,군자동 60-68 ~ 60-2(동일로56길),50,37.5555551,127.0742336,37.5552501,127.0751111,,,,
